row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
11158,4060,4095,4095,4095,4095,4095,4095,3910
11159,3808,4095,4095,4095,4095,4000,4094,3308
11160,3270,4088,4079,4095,4008,3537,3964,1910
11161,2360,3802,3774,4073,3448,2353,3194,313
11162,1162,2857,2702,3704,1774,383,980,261
11163,320,1349,921,2045,304,280,280,253
11164,295,345,301,339,280,271,268,251
11165,297,298,281,280,276,271,268,251
11166,306,312,281,270,277,271,267,252
11167,331,757,301,269,278,270,266,253
11168,432,2360,960,270,277,272,267,253
11169,785,3380,2350,285,277,270,266,253
11170,928,3584,3233,330,277,270,267,251
11171,930,3606,3548,1589,280,270,265,252
11172,898,3612,3580,2564,285,271,265,252
11173,902,3616,3588,3184,293,270,265,251
11174,894,3616,3592,3416,319,271,266,251
11175,922,3612,3580,3492,369,272,264,250
11176,943,3600,3311,3512,364,270,264,251
11177,931,3580,2540,3512,358,271,264,252
11178,766,3564,1632,3492,333,272,265,251
11179,470,3554,797,3417,304,271,265,251
11180,345,3548,481,3172,285,271,264,250
11181,315,3548,614,2030,280,272,264,250
11182,305,3528,1278,397,279,272,263,252
11183,298,3412,2023,293,278,271,264,251
11184,293,3217,2660,281,277,272,263,251
11185,289,2965,3200,293,279,272,264,251
11186,288,2684,3464,341,281,273,265,252
11187,288,2338,3572,1530,286,273,265,252
11188,288,1858,3585,2490,302,274,265,252
11189,288,1105,3576,3036,350,273,264,253
11190,288,457,3528,3352,840,274,265,253
11191,288,327,3332,3488,1565,278,266,251
11192,290,300,2958,3540,2460,288,265,252
11193,299,292,2428,3564,3052,308,265,253
11194,332,298,1970,3570,3460,366,266,251
11195,741,357,1824,3572,3572,1002,266,252
11196,1320,1382,2105,3572,3588,1250,265,253
11197,1525,2730,2845,3572,3599,1497,267,252
11198,1623,3446,3352,3576,3601,2083,265,252
11199,1678,3577,3552,3576,3580,2900,265,253
11200,1474,3604,3588,3568,3550,3276,266,251
11201,848,3588,3572,3432,3432,3454,266,251
11202,332,3352,3454,3032,3112,3464,266,253
11203,300,2220,2671,2184,2592,3361,265,253
11204,289,596,1048,808,1912,2824,266,254
11205,286,297,298,305,758,1432,268,253
11206,287,282,278,281,316,317,268,253
11207,295,282,276,274,290,285,267,254
11208,332,283,278,276,288,283,268,254
