row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
30543,273,264,258,255,2132,2232,263,251
30544,273,264,259,254,3036,2882,262,252
30545,273,263,256,254,3361,3260,263,251
30546,274,264,259,255,3524,3480,265,251
30547,277,264,259,257,3566,3532,267,252
30548,277,264,258,263,3588,3548,268,252
30549,278,266,258,273,3604,3560,269,252
30550,280,266,260,292,3612,3560,269,253
30551,280,270,263,344,3618,3554,272,254
30552,282,271,266,904,3622,3533,273,255
30553,281,272,265,1096,3612,3464,274,254
30554,280,272,264,1176,3550,3338,275,254
30555,280,273,265,1230,3337,2996,273,256
30556,280,273,267,1302,3033,2076,269,256
30557,281,273,266,1417,2708,397,268,255
30558,280,273,265,1504,2573,286,268,254
30559,281,272,268,1549,2528,274,267,252
30560,281,273,267,1468,2556,273,270,253
30561,281,273,266,1410,2591,273,268,253
30562,282,272,266,1352,2645,274,267,252
30563,281,273,266,1372,2670,275,268,252
30564,282,272,266,1361,2788,277,268,253
30565,281,272,266,1401,3000,277,268,253
30566,281,272,265,1462,3256,283,267,252
30567,281,272,266,1489,3428,292,268,253
30568,281,273,267,1493,3528,308,268,254
30569,281,273,268,1505,3562,384,267,253
30570,281,274,266,1580,3580,1517,268,256
30571,281,273,266,1079,3592,2905,269,257
30572,281,272,267,388,3604,3439,283,259
30573,281,272,268,328,3604,3500,514,266
30574,281,272,269,427,3606,3541,2894,277
30575,283,272,274,2124,3608,3566,3396,302
30576,281,273,293,3156,3608,3567,3448,637
30577,282,273,351,3396,3612,3576,3474,1736
30578,280,274,1308,3500,3616,3584,3492,2410
30579,280,274,2440,3532,3614,3582,3502,2976
30580,280,275,3148,3540,3597,3576,3516,3128
30581,280,278,3516,3544,3476,3573,3512,3102
30582,279,279,3506,3516,2749,3552,3516,3080
30583,280,281,3396,3444,1419,3540,3528,3062
30584,281,281,2286,3212,369,3508,3526,3020
30585,281,279,335,1928,306,3284,3540,2990
30586,280,275,273,312,285,2474,3528,2914
30587,281,274,266,267,279,1289,3496,2574
30588,280,272,265,260,275,355,3416,964
30589,281,272,265,259,273,276,3221,276
30590,283,273,265,259,274,271,1950,254
30591,285,272,263,259,274,270,279,251
30592,305,272,266,258,274,272,269,252
30593,626,274,265,257,275,273,269,251
30594,2374,297,273,259,280,278,271,254
30595,3848,1352,458,265,330,312,271,271
30596,4095,3592,3435,308,3301,2927,296,1312
30597,4095,4095,4092,2456,4056,4064,2415,3726
