row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
64084,3968,4095,4095,4095,4095,4095,4095,4092
64085,3796,4095,4095,4095,4095,4095,4095,4012
64086,3444,4095,4095,4095,4095,4095,4095,3848
64087,2782,4084,4095,4095,4095,4095,4095,2977
64088,1647,3960,4041,4095,4072,3956,4044,608
64089,369,3432,3720,4089,3828,3085,3896,270
64090,289,2216,2265,3944,2404,1454,2324,256
64091,272,385,302,2612,552,1272,562,257
64092,269,288,271,320,334,780,354,256
64093,269,272,267,267,336,646,315,254
64094,267,270,266,266,392,810,334,255
64095,268,270,265,263,383,665,348,256
64096,268,269,265,262,1908,803,357,258
64097,269,269,266,264,3436,1024,348,256
64098,268,267,266,266,3574,1423,323,255
64099,268,267,265,279,3566,2073,329,255
64100,268,268,266,472,2728,2617,330,255
64101,268,269,268,2095,588,3156,331,256
64102,268,269,271,2664,324,3236,320,256
64103,268,269,276,2670,312,2733,314,254
64104,267,269,284,1860,308,2051,309,255
64105,268,268,299,372,309,1406,309,256
64106,268,270,325,285,305,720,317,256
64107,267,268,398,269,299,333,316,256
64108,268,269,728,265,301,326,314,257
64109,267,269,779,262,300,316,310,257
64110,267,271,678,261,301,315,313,258
64111,268,271,590,260,301,309,311,257
64112,269,269,597,261,300,306,300,257
64113,269,269,741,261,297,309,302,256
64114,268,269,955,260,297,307,298,256
64115,268,270,953,261,298,299,293,256
64116,269,269,528,261,296,298,293,256
64117,268,269,318,268,294,296,289,256
64118,269,269,284,279,290,290,286,253
64119,268,268,271,314,289,287,285,255
64120,269,269,267,969,289,288,284,255
64121,268,269,265,1526,287,284,279,253
64122,268,269,264,661,289,280,277,255
64123,269,269,263,297,308,280,278,253
64124,268,269,263,270,527,281,276,252
64125,268,270,263,262,1605,280,279,254
64126,268,269,265,260,2286,281,278,253
64127,268,268,265,260,1944,280,277,252
64128,268,270,266,259,1024,285,273,255
64129,269,269,265,260,345,306,277,253
64130,269,270,263,260,300,389,277,253
64131,268,269,264,260,291,1268,278,252
64132,267,269,264,258,286,1924,279,254
64133,267,269,269,258,284,2341,277,254
64134,268,268,284,257,288,2069,279,252
64135,268,269,306,257,287,1295,280,252
64136,269,270,309,258,289,505,281,252
64137,267,272,309,260,291,328,282,252
64138,267,271,372,263,306,332,281,252
64139,268,270,1932,270,2084,2606,287,253
64140,267,271,3150,425,3466,3512,288,252
64141,269,271,2583,2941,3422,3336,282,252
64142,272,270,412,3068,2540,2308,286,252
64143,282,270,277,1616,323,306,280,253
64144,313,270,268,288,298,289,281,253
64145,1472,274,266,263,299,299,283,255
64146,3260,298,273,261,296,293,283,257
64147,3876,574,298,262,304,296,281,260
64148,4016,2357,1519,267,926,861,288,292
64149,4046,3784,3648,307,3640,3724,338,3084
64150,4052,4095,4092,2724,4072,4092,3453,4004
