row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
65052,3964,4095,4095,4095,4095,4095,4095,4008
65053,3784,4095,4095,4095,4095,4095,4095,3758
65054,3160,4095,4095,4095,4095,4062,4095,2574
65055,2095,4028,4062,4095,4044,3876,4032,400
65056,982,3773,3908,4092,3852,3058,3904,275
65057,329,3164,3344,4025,2944,1048,3116,258
65058,286,2036,1897,3784,869,298,463,256
65059,273,576,327,2729,302,289,299,254
65060,268,297,274,402,294,289,292,253
65061,269,278,268,286,289,283,289,254
65062,268,271,266,263,289,289,288,253
65063,268,270,264,260,298,289,285,253
65064,267,268,263,258,910,305,288,253
65065,268,270,264,259,3142,972,285,253
65066,268,269,263,261,3424,2542,285,253
65067,267,269,262,266,3172,2924,285,252
65068,268,268,264,284,1604,2324,284,252
65069,267,269,266,351,306,964,285,251
65070,266,269,268,1992,284,311,288,253
65071,267,269,271,2738,281,289,289,253
65072,268,268,278,3030,280,282,297,253
65073,267,269,288,3082,281,280,313,252
65074,269,270,297,2973,280,279,357,254
65075,269,269,315,2714,279,277,573,252
65076,268,269,344,2336,279,278,857,251
65077,268,270,503,1917,280,279,1200,253
65078,269,268,781,1593,280,285,1369,254
65079,270,271,954,1382,279,303,1434,254
65080,269,269,1172,1213,279,633,1378,253
65081,268,270,1276,1094,279,1434,1312,255
65082,271,270,1388,989,280,1994,1084,253
65083,269,270,1368,1040,280,2182,646,253
65084,269,269,1300,1124,281,2034,376,254
65085,270,269,1124,1342,282,1651,316,253
65086,270,269,855,1590,279,886,294,254
65087,269,271,474,2005,280,309,284,254
65088,269,269,338,2352,279,281,280,254
65089,269,270,304,2772,282,279,279,254
65090,270,270,286,3084,280,277,277,252
65091,270,271,276,3220,282,278,276,253
65092,269,269,268,3181,286,277,276,253
65093,269,268,266,2868,299,276,273,253
65094,269,269,265,2095,341,277,274,253
65095,268,269,263,548,1096,274,273,251
65096,267,270,262,289,2184,275,273,252
65097,268,270,264,269,2838,274,270,252
65098,268,270,265,261,2865,278,272,253
65099,267,268,265,259,1712,288,272,253
65100,268,269,286,259,351,318,272,252
65101,269,269,378,259,291,876,271,254
65102,269,269,608,259,280,1958,270,252
65103,268,269,804,260,278,2158,271,253
65104,267,269,1017,259,278,1308,272,252
65105,267,270,1304,259,279,380,272,251
65106,267,269,1544,264,317,1074,272,251
65107,268,269,1740,310,3196,3468,274,252
65108,268,270,1775,2680,3566,3567,285,251
65109,269,268,1880,3484,3584,3544,307,251
65110,267,269,1820,3472,3496,3376,364,252
65111,271,268,371,3151,1999,1454,491,253
65112,282,269,273,658,288,279,289,252
65113,398,272,266,269,282,276,274,254
65114,3108,302,278,260,288,285,275,260
65115,4002,2086,1350,268,1234,1463,282,733
65116,4052,3980,3948,744,3960,4028,2320,3924
65117,4056,4095,4095,3724,4095,4095,4034,4095
