row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
10353,4024,4095,4095,4095,4095,4095,4095,3958
10354,3780,4095,4095,4095,4095,4088,4095,3384
10355,3220,4095,4095,4095,4076,3823,4045,2042
10356,2335,3892,3992,4095,3772,3042,3616,342
10357,1242,3169,3428,3993,2876,1752,2330,273
10358,385,2254,2472,3572,1621,399,528,258
10359,308,1230,1272,2602,356,296,288,254
10360,294,356,329,1253,305,283,271,253
10361,289,298,286,320,335,285,270,256
10362,287,284,279,290,1529,292,268,253
10363,286,281,280,295,2912,307,266,253
10364,286,280,290,315,3448,362,267,253
10365,286,280,310,726,3512,1060,267,252
10366,285,279,460,1934,3520,1756,266,253
10367,285,280,1373,3016,3510,2428,266,252
10368,286,280,1832,3408,3445,2588,266,253
10369,286,279,2289,3452,2821,2788,266,253
10370,285,280,2735,3140,1292,3068,267,252
10371,285,280,2884,1799,306,3293,268,253
10372,285,280,2800,325,290,3209,267,253
10373,285,281,2733,280,288,3033,268,253
10374,285,282,2693,274,282,2948,268,253
10375,285,279,2681,272,280,2956,266,253
10376,285,279,2708,273,280,2977,267,252
10377,284,280,2840,275,279,3020,266,252
10378,285,281,3074,280,280,3040,267,252
10379,284,281,3252,289,278,3062,267,252
10380,286,282,3181,294,280,3064,265,253
10381,285,281,2892,303,280,3060,266,253
10382,287,281,2600,328,281,3068,265,252
10383,289,281,2372,645,281,3088,265,252
10384,296,294,2104,1051,280,3118,266,251
10385,308,378,1508,1494,283,3209,266,250
10386,316,1828,928,2165,293,3352,266,251
10387,317,2792,890,2741,368,3450,267,252
10388,316,3279,1136,2916,2144,3471,267,251
10389,317,3460,1756,3128,3534,3480,267,250
10390,318,3512,2664,3388,3568,3481,267,251
10391,311,3524,3428,3500,3576,3484,267,251
10392,299,3462,3565,3532,3574,3474,268,251
10393,290,3297,3564,3544,3580,3481,268,250
10394,286,2828,3566,3548,3580,3480,269,252
10395,284,2044,3560,3541,3568,3468,268,250
10396,285,979,3518,3534,3512,3446,268,250
10397,284,320,3354,3508,2724,3396,267,250
10398,283,289,2636,3404,1035,3183,267,251
10399,284,278,442,2336,307,2273,266,253
10400,285,278,276,302,281,308,267,251
10401,288,277,269,264,277,271,267,252
10402,292,277,268,263,276,271,268,252
10403,314,278,270,263,277,272,270,254
