row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
10717,269,273,2240,323,430,301,278,253
10718,269,273,2810,3417,1259,294,279,253
10719,270,272,3424,3523,3608,299,282,254
10720,269,271,3468,3564,3688,2358,281,253
10721,270,270,3404,3476,3602,2916,282,253
10722,269,271,3372,1073,3464,3584,289,255
10723,270,270,3384,269,2354,3616,294,256
10724,270,269,3336,284,1429,3566,839,256
10725,270,270,2591,300,615,3424,1214,256
10726,268,268,1906,1780,302,2744,3154,261
10727,268,269,2021,3478,299,308,3309,262
10728,269,269,2108,3458,293,294,3500,301
10729,268,269,1952,3392,288,281,3476,357
10730,268,269,348,3373,292,281,2734,2465
10731,268,268,295,3389,304,280,1117,2928
10732,269,267,272,3366,614,277,1039,2880
10733,268,268,269,3344,1338,279,1200,2724
10734,268,268,269,3318,2847,301,300,2490
10735,267,269,267,2592,3420,3413,1862,2120
10736,268,268,268,2452,3631,3576,3516,1850
10737,269,267,265,2444,3624,3604,3542,766
10738,268,268,266,888,3626,3578,3480,270
10739,269,268,264,303,3632,3576,3396,258
10740,269,268,264,275,3599,3144,2028,254
10741,268,268,265,267,3620,1160,344,253
10742,269,268,264,266,3572,1697,270,253
10743,270,268,265,269,3594,2860,270,252
10744,269,267,263,262,3550,3376,270,252
10745,268,267,264,259,3509,3400,271,252
10746,269,269,263,259,3372,3292,268,251
10747,269,268,264,259,2455,3300,269,250
10748,269,270,264,257,1470,3008,268,252
10749,269,267,263,258,342,2185,267,251
10750,272,269,265,257,282,276,271,252
10751,278,269,265,258,281,275,269,252
10752,1981,274,262,258,280,277,272,252
10753,4004,408,274,258,280,276,269,251
10754,4095,4032,3676,292,2820,2358,274,268
10755,4095,4095,4095,3756,4092,4095,3172,3714
