row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
32484,3896,4095,4095,4095,4095,4095,4095,4095
32485,3462,4095,4095,4095,4095,4095,4095,4092
32486,2649,4088,4095,4095,4095,4095,4095,4044
32487,1992,3984,4095,4095,4095,4086,4095,3966
32488,1228,3700,4020,4095,4054,3954,4095,3620
32489,357,2888,3524,4076,3672,3237,4040,2117
32490,291,1256,1704,3692,2192,1521,3552,318
32491,281,325,318,2241,357,308,1740,267
32492,281,292,282,533,289,278,307,254
32493,282,282,274,293,282,273,273,251
32494,281,279,272,271,292,272,267,251
32495,281,280,273,266,380,278,267,249
32496,281,278,276,277,2332,291,266,250
32497,282,279,281,313,3222,328,265,250
32498,282,279,292,1196,3256,1016,265,249
32499,281,280,313,2640,2655,2004,266,249
32500,282,280,417,3084,1204,2724,266,251
32501,283,281,1316,2580,305,3000,265,249
32502,282,281,1888,1704,285,2888,265,249
32503,281,282,2216,818,281,2580,266,249
32504,282,282,2390,332,278,2144,266,249
32505,280,281,2462,301,277,1728,267,250
32506,282,281,2479,284,277,1358,267,250
32507,282,283,2420,277,277,1085,269,249
32508,282,282,2336,274,277,862,269,251
32509,281,281,2246,274,277,748,271,249
32510,282,284,2078,272,278,799,269,250
32511,280,283,1924,270,276,950,268,250
32512,280,284,1807,270,278,1184,269,250
32513,281,285,1729,269,277,1509,267,250
32514,279,286,1796,268,277,1834,267,250
32515,279,288,1960,270,279,2348,266,250
32516,279,291,2280,269,280,2770,266,250
32517,279,291,2680,270,282,3057,266,251
32518,281,292,2985,274,281,3156,265,251
32519,279,292,3036,280,291,3040,264,249
32520,279,291,2764,296,340,2713,265,250
32521,281,292,2250,378,1798,2037,264,250
32522,280,289,1620,1660,3268,956,266,251
32523,280,291,1148,2330,3420,316,265,250
32524,280,289,873,1991,2932,282,265,249
32525,280,288,850,704,1380,275,265,251
32526,280,287,929,294,298,272,263,252
32527,280,284,1047,276,278,271,265,251
32528,280,282,1231,269,276,274,264,251
32529,281,281,1488,268,275,272,265,252
32530,280,281,1800,268,277,281,265,249
32531,280,281,2129,268,279,323,267,250
32532,280,281,2378,270,280,1633,264,251
32533,281,281,2428,275,288,2240,264,251
32534,281,280,2192,285,348,1666,266,251
32535,282,279,1594,332,2197,721,265,251
32536,282,279,499,1830,3396,299,265,251
32537,289,277,295,2991,3097,275,264,250
32538,333,280,277,2222,1115,272,264,250
32539,1812,290,273,333,284,272,264,251
32540,3476,379,282,276,277,271,264,251
32541,4040,2230,454,271,286,278,264,252
32542,4078,3728,2985,309,1128,344,269,262
32543,4088,4095,4076,2420,3732,3124,297,322
32544,4090,4095,4095,3982,4095,4092,2892,3476
