row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
33246,3944,4095,4095,4095,4095,4095,4095,4060
33247,3640,4095,4095,4095,4095,4095,4095,3981
33248,3064,4095,4095,4095,4095,4095,4095,3712
33249,2021,3988,4085,4095,4095,4036,4095,3000
33250,827,3380,3878,4095,4012,3640,4036,2093
33251,321,2592,3262,4060,3620,2864,3908,1242
33252,296,1801,2332,3908,2596,1558,3362,340
33253,285,641,751,3168,834,328,2108,286
33254,281,305,294,1538,296,280,503,268
33255,281,283,274,320,282,273,293,259
33256,281,276,269,274,283,273,275,257
33257,281,274,269,267,292,273,272,256
33258,280,276,268,261,312,277,269,252
33259,280,276,270,263,867,282,266,253
33260,281,277,270,266,2152,290,266,252
33261,280,277,272,274,3105,311,266,251
33262,282,277,274,287,3401,402,265,251
33263,281,277,274,313,3436,1299,264,250
33264,281,276,277,555,3298,1938,266,251
33265,280,276,281,1624,2917,2438,265,251
33266,280,280,286,2288,2324,2844,264,249
33267,282,279,293,2744,1503,3040,265,251
33268,281,277,296,2940,478,3060,267,251
33269,281,278,315,3014,292,2836,266,250
33270,280,278,377,2538,279,2464,267,249
33271,281,280,684,2048,277,2141,266,250
33272,281,281,913,1512,276,1738,266,250
33273,279,280,1193,1008,276,1382,268,250
33274,279,279,1391,546,276,1077,268,250
33275,279,279,1548,362,277,877,269,251
33276,279,280,1781,321,277,628,271,251
33277,280,281,1890,309,275,455,273,251
33278,280,280,2012,299,277,373,275,252
33279,281,280,2080,299,276,351,276,250
33280,280,280,2159,294,276,341,278,251
33281,280,279,2181,294,276,332,278,250
33282,281,279,2248,295,278,331,280,251
33283,280,279,2300,293,275,330,280,251
33284,280,279,2377,292,277,332,280,250
33285,280,279,2448,294,277,337,279,250
33286,280,279,2468,295,278,352,278,250
33287,280,278,2536,297,279,384,276,251
33288,280,279,2607,303,277,554,276,250
33289,282,278,2669,312,278,908,273,250
33290,281,280,2700,322,278,1369,271,252
33291,280,280,2716,350,278,1850,269,251
33292,280,280,2722,567,280,2356,268,252
33293,280,278,2684,1108,283,2852,266,251
33294,280,280,2632,1608,296,3136,266,251
33295,280,280,2556,2050,357,3244,266,249
33296,279,280,2499,2308,1940,3024,266,250
33297,280,279,2449,2281,3229,2509,264,251
33298,279,279,2409,1944,3468,1681,265,251
33299,280,280,2372,1302,3320,490,265,250
33300,279,279,2338,464,2732,302,265,250
33301,279,280,2302,312,1391,280,265,251
33302,280,280,2250,292,316,273,265,250
33303,280,278,2181,283,283,271,265,251
33304,280,280,2076,284,278,272,264,250
33305,281,279,1909,286,277,271,265,250
33306,281,279,1698,290,278,271,265,250
33307,281,278,1444,297,277,270,265,251
33308,281,278,1165,306,278,271,264,249
33309,280,278,856,324,279,271,264,250
33310,280,279,496,373,279,273,264,250
33311,281,277,349,776,278,272,265,252
33312,280,277,317,1298,279,275,265,252
33313,281,277,304,1796,280,281,265,251
33314,279,276,292,2348,296,309,265,249
33315,280,276,283,2710,466,1030,265,251
33316,281,277,277,2780,2148,2477,265,250
33317,281,278,275,2556,2932,2916,265,250
33318,282,279,273,2080,3380,2994,266,251
33319,285,278,273,1216,3352,2488,266,250
33320,301,279,271,333,2660,1168,265,248
33321,410,280,272,290,974,299,264,249
33322,1902,291,271,275,297,274,264,250
33323,3314,333,278,269,280,270,263,250
33324,3904,1163,305,269,280,274,264,251
33325,4057,2598,1142,276,302,284,265,254
33326,4078,3727,2958,310,1220,364,267,263
33327,4084,4084,3982,1728,3448,2708,289,317
33328,4092,4095,4095,3516,4041,3980,1485,2644
33329,4089,4095,4095,4040,4095,4095,3502,3814
