row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
64325,3980,4095,4095,4095,4095,4095,4095,4095
64326,3822,4095,4095,4095,4095,4095,4095,4014
64327,2604,3889,3928,4095,3962,3732,4060,2260
64328,573,2534,2088,3612,1551,337,2168,257
64329,281,327,286,436,277,272,274,252
64330,274,276,265,263,277,273,270,252
64331,273,275,266,263,297,310,271,253
64332,273,275,268,276,2156,3042,281,253
64333,273,273,268,794,3529,3564,289,253
64334,273,274,268,2844,3601,3588,729,252
64335,271,273,269,3078,3614,3604,988,252
64336,270,274,270,3068,3620,3592,1033,253
64337,269,273,269,3084,3620,3502,1005,252
64338,270,272,268,3096,3560,2456,848,251
64339,270,271,270,3106,3421,312,323,252
64340,270,271,267,3024,3342,274,276,252
64341,271,272,267,2780,3233,270,269,252
64342,272,272,266,1817,3352,276,273,253
64343,271,271,266,1016,3390,276,271,253
64344,272,271,265,369,3492,280,272,255
64345,271,272,265,340,3517,282,274,251
64346,272,271,265,301,3516,285,273,252
64347,271,271,265,283,3496,301,273,254
64348,271,269,264,268,3420,617,270,253
64349,273,272,265,264,2896,1058,271,253
64350,272,271,264,260,2292,1133,273,255
64351,272,270,263,260,2057,1832,273,253
64352,271,271,264,259,1913,2877,272,253
64353,272,271,263,260,1782,3438,270,252
64354,270,271,264,257,1636,3508,272,252
64355,270,271,262,258,893,3533,272,253
64356,272,271,264,257,308,3514,274,252
64357,272,272,264,259,293,3486,275,252
64358,272,272,262,259,282,3452,299,252
64359,272,269,265,259,277,3407,351,252
64360,271,270,263,258,276,3140,362,251
64361,272,271,264,258,275,2268,376,253
64362,271,271,264,257,275,1885,1840,252
64363,271,272,262,259,275,1956,2613,253
64364,271,271,263,257,276,1828,2590,252
64365,271,269,263,258,275,794,2472,251
64366,270,269,265,258,277,315,2338,254
64367,271,270,264,259,276,315,2256,254
64368,271,272,264,258,277,319,2104,252
64369,270,271,265,258,276,297,2064,253
64370,270,271,264,258,275,278,1958,254
64371,271,272,264,257,276,277,1865,254
64372,270,271,265,260,276,280,1689,253
64373,271,270,264,260,276,278,1696,253
