row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
39689,275,293,2575,269,288,288,286,258
39690,273,305,3337,276,417,312,279,256
39691,274,330,3476,355,3225,633,281,256
39692,274,369,3510,2422,3573,2106,284,259
39693,273,396,3532,3471,3600,3464,286,257
39694,273,381,3540,3564,3624,3596,289,259
39695,272,336,3532,3572,3624,3620,417,260
39696,273,308,3516,3566,3624,3619,744,259
39697,273,293,3492,3562,3620,3632,1454,261
39698,274,283,3452,3550,3612,3636,3036,262
39699,274,278,3260,3534,3620,3636,3032,262
39700,271,274,2636,3532,3624,3663,3080,263
39701,271,272,1686,3528,3628,3656,3089,262
39702,271,271,990,3524,3624,3628,3032,264
39703,272,272,340,3518,3613,3540,3054,263
39704,270,270,304,3508,3594,3140,2922,264
39705,271,270,284,3470,3584,2716,2866,261
39706,270,270,273,3392,3580,2676,2740,260
39707,270,272,272,3160,3570,2102,2708,261
39708,269,270,268,2828,3596,353,2349,259
39709,270,271,265,2493,3612,306,378,259
39710,270,271,265,1866,3612,762,289,260
39711,270,271,264,898,3610,3196,294,261
39712,272,270,265,313,3608,3440,288,259
39713,271,270,264,288,3588,3517,291,261
39714,271,271,264,272,3564,3598,288,257
39715,272,271,264,264,3509,3612,284,257
39716,271,271,264,261,3316,3625,283,257
39717,273,271,264,259,2662,3628,284,258
39718,272,271,266,260,2191,3642,299,258
39719,271,271,264,259,1348,3631,308,257
39720,272,272,264,260,335,3624,336,257
39721,271,272,263,259,310,3604,1950,258
39722,270,272,263,258,287,3534,2136,258
39723,271,271,263,258,280,3350,3168,260
39724,271,272,264,257,278,3130,3472,268
39725,271,272,263,259,277,2577,3544,272
39726,269,271,265,259,278,1134,3580,290
39727,271,271,264,258,277,796,3594,908
39728,271,271,266,257,277,330,3592,1174
39729,270,272,264,258,277,289,3582,2308
39730,269,272,262,258,276,285,3566,3036
39731,270,269,263,258,277,281,3556,3054
39732,269,270,262,258,276,278,3513,2988
39733,270,269,262,259,277,277,3392,2788
39734,270,270,262,258,278,278,3304,1912
39735,270,271,263,258,278,277,1821,270
39736,271,270,263,258,279,280,283,254
39737,272,271,263,259,278,279,279,253
39738,282,271,262,258,281,280,279,253
