row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
6394,3744,4095,4095,4095,4095,4095,4095,4072
6395,3132,4095,4095,4095,4095,4095,4095,3980
6396,2328,3944,4060,4095,4095,4094,4095,3556
6397,1321,3324,3702,4095,4017,3924,4088,2761
6398,382,2436,3004,4015,3576,3172,4004,1416
6399,306,1469,1845,3652,2374,1688,3496,320
6400,293,602,559,2588,457,314,2045,277
6401,288,319,302,1135,289,277,331,261
6402,288,298,282,321,278,272,277,255
6403,290,307,285,282,280,272,271,254
6404,294,382,312,276,294,275,269,253
6405,296,1074,645,285,695,278,269,253
6406,294,1769,2136,347,2880,282,268,253
6407,294,2336,3196,1768,3439,284,268,253
6408,290,2244,3284,3176,3445,284,268,253
6409,290,1752,2300,3412,3092,285,267,251
6410,289,1240,766,2746,1566,287,265,251
6411,288,844,300,1126,303,291,267,251
6412,287,473,279,302,281,297,268,250
6413,286,344,277,273,280,300,269,250
6414,285,315,282,267,279,302,267,249
6415,285,297,289,265,276,299,269,249
6416,284,288,298,266,277,285,267,250
6417,282,283,320,266,275,273,266,250
6418,284,283,377,265,275,269,267,248
6419,282,281,725,267,275,271,268,250
6420,284,281,968,268,276,270,268,250
6421,283,281,1050,270,274,270,268,251
6422,283,281,760,276,276,272,267,250
6423,284,280,349,284,275,270,268,250
6424,282,280,304,300,276,270,266,249
6425,282,281,287,344,276,271,266,249
6426,282,279,279,727,276,270,268,248
6427,282,279,273,1075,275,269,268,249
6428,283,278,272,1123,274,269,268,248
6429,281,280,271,942,276,270,266,249
6430,282,278,272,550,277,271,267,249
6431,283,280,272,340,279,270,266,249
6432,281,280,272,309,283,271,268,250
6433,283,280,273,293,290,271,267,250
6434,283,281,272,285,300,270,265,250
6435,283,280,273,279,312,270,265,249
6436,281,278,271,273,341,270,266,250
6437,282,278,270,270,488,270,267,249
6438,281,277,270,269,944,270,265,250
6439,280,279,271,269,1378,271,266,250
6440,280,278,270,266,1725,272,267,250
6441,278,280,270,264,1954,272,267,249
6442,281,277,270,264,1928,274,267,249
6443,317,280,270,264,369,272,266,250
6444,1948,287,271,264,277,272,267,251
6445,3837,710,292,265,279,273,267,253
6446,4079,3522,2780,281,394,307,268,266
6447,4093,4095,4095,2344,3884,3642,314,870
6448,4095,4095,4095,4093,4095,4095,3743,3928
