row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
6251,1497,2206,1850,608,552,1050,345,328
6252,2060,3292,3096,1696,1497,1934,712,343
6253,2194,3625,3628,2714,2596,2716,1444,351
6254,2141,3656,3696,3390,3496,3470,2380,346
6255,1932,3660,3695,3648,3740,3748,3010,340
6256,1394,3657,3692,3704,3748,3765,3100,330
6257,640,3644,3689,3705,3740,3758,3074,324
6258,349,3616,3688,3694,3704,3704,3046,313
6259,310,3548,3678,3692,3439,3505,2972,304
6260,293,3288,3662,3676,2700,2916,2712,295
6261,285,2712,3648,3653,1664,1780,2004,288
6262,282,1803,3637,3640,1389,570,770,281
6263,281,666,3612,3628,1702,312,305,276
6264,280,317,3440,3618,2140,302,284,274
6265,279,291,2820,3612,2944,309,281,271
6266,278,282,1824,3580,3504,310,277,266
6267,276,278,623,3526,3564,338,275,265
6268,276,277,304,3388,3578,890,274,263
6269,276,276,282,3076,3592,1758,272,261
6270,274,276,274,2257,3592,2688,273,259
6271,274,275,270,1084,3567,3200,270,258
6272,273,273,269,328,3556,3348,269,260
6273,273,275,268,287,3540,3424,271,258
6274,273,274,268,278,3502,3488,271,259
6275,273,274,268,276,3368,3487,270,258
6276,272,273,267,268,2956,3464,268,256
6277,271,273,266,266,2612,3424,269,257
6278,273,274,267,266,2580,3304,268,256
6279,273,274,267,267,1816,2388,267,257
6280,276,275,268,266,346,709,266,256
6281,281,273,264,262,283,289,268,258
6282,317,276,268,266,280,278,269,261
6283,889,277,268,266,278,275,269,260
