row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
40906,3964,4095,4095,4095,4095,4095,4095,4095
40907,3727,4095,4095,4095,4095,4095,4095,4095
40908,3192,4095,4095,4095,4095,4095,4095,4095
40909,2266,3940,4068,4095,4095,4079,4095,4012
40910,1229,3382,3796,4095,4008,3864,4093,3572
40911,345,2376,2974,4004,3580,3084,3982,1585
40912,290,1001,1480,3340,2206,1423,3093,274
40913,279,325,329,2003,394,308,583,253
40914,277,288,282,421,290,279,276,252
40915,276,281,275,288,283,275,268,252
40916,274,278,271,272,292,287,267,251
40917,274,278,272,273,374,425,273,252
40918,275,277,274,282,2274,2628,326,250
40919,273,277,280,306,3375,3444,1516,254
40920,274,275,293,943,3508,3488,2446,253
40921,274,277,324,2193,3528,3506,3173,254
40922,275,277,767,3129,3538,3516,3264,255
40923,274,278,1896,3460,3544,3524,3276,256
40924,274,280,2766,3521,3537,3500,3284,256
40925,275,281,3374,3542,3458,3308,3272,256
40926,276,288,3460,3548,2628,2070,3183,254
40927,275,296,3472,3528,586,315,1647,252
40928,273,302,3488,3452,287,272,275,252
40929,275,306,3492,2889,278,269,265,252
40930,276,305,3488,1679,277,269,263,251
40931,276,307,3508,373,276,269,264,250
40932,275,312,3520,347,275,271,264,251
40933,275,304,3520,981,277,269,264,252
40934,275,289,3510,1312,275,269,264,251
40935,274,281,3478,2028,276,268,264,250
40936,274,281,3332,2860,277,268,264,249
40937,276,279,2996,3262,279,269,264,250
40938,275,276,2283,3428,284,267,264,251
40939,276,275,1640,3462,298,268,264,250
40940,275,275,1300,3486,347,268,264,249
40941,277,275,721,3498,1124,269,265,250
40942,276,275,313,3460,1057,268,265,250
40943,277,277,302,3352,1668,269,266,250
40944,276,276,878,3364,2655,269,265,251
40945,276,278,3032,3468,2449,268,266,249
40946,276,278,3448,3542,2191,267,266,250
40947,278,278,3400,3564,1901,269,267,251
40948,276,278,3196,3568,1259,270,265,250
40949,277,276,2652,3546,305,268,267,250
40950,277,276,1614,3478,283,269,267,250
40951,275,275,316,2892,278,270,266,250
40952,286,275,272,340,273,269,267,250
40953,494,276,264,266,272,269,267,252
40954,2700,300,272,261,273,270,267,250
40955,3896,1568,309,262,272,271,267,252
40956,4016,3592,2581,298,622,289,269,249
40957,4028,4093,4046,2350,3748,3180,276,263
40958,4030,4095,4095,4056,4094,4092,2880,3140
