row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
45810,3788,4095,4095,4095,4095,4084,4095,3838
45811,2937,4028,4072,4095,4040,3664,4044,2720
45812,1650,3292,3508,4046,3407,2450,3476,568
45813,366,1900,2088,3434,1824,602,1708,271
45814,299,422,388,1864,328,292,301,256
45815,292,300,292,376,290,280,272,253
45816,289,287,280,289,292,282,268,253
45817,287,283,279,279,356,293,267,252
45818,288,284,294,285,2169,326,268,251
45819,288,285,398,310,3390,727,268,253
45820,288,290,2046,1014,3552,1522,268,252
45821,287,303,3264,2494,3567,1774,267,253
45822,288,341,3544,3372,3576,1684,267,253
45823,288,616,3580,3557,3562,1568,267,253
45824,288,1042,3548,3547,3450,1369,267,253
45825,288,1176,3408,3444,2860,782,267,253
45826,286,1192,3180,2730,1424,319,267,253
45827,289,1237,3028,1263,308,284,267,253
45828,289,1074,3118,510,286,277,267,253
45829,288,645,3444,1202,289,281,268,253
45830,287,326,3518,2328,313,301,267,253
45831,286,298,3222,2797,1364,946,267,253
45832,285,288,2524,3110,3201,2738,266,253
45833,286,284,1464,3407,3592,3292,267,251
45834,285,281,393,3480,3612,3455,266,253
45835,286,280,302,3318,3610,3428,267,253
45836,286,280,291,3150,3592,3343,266,251
45837,286,280,292,3084,3438,2792,267,253
45838,285,278,312,3192,2537,1036,267,254
45839,285,278,786,3354,596,289,268,254
45840,283,279,1967,3424,297,276,266,253
45841,285,279,2532,3336,284,277,266,253
45842,285,279,2602,3072,283,277,268,253
45843,284,278,2264,2796,299,293,268,254
45844,284,280,1716,2830,703,1108,280,254
45845,284,278,1504,3141,2392,3232,1356,255
45846,285,279,1627,3432,3226,3558,2703,252
45847,286,279,1420,3492,3576,3576,2468,254
45848,287,279,552,3464,3564,3560,2169,253
45849,286,279,313,3327,3326,3260,1781,254
45850,288,282,291,2533,2132,2030,686,254
45851,292,280,281,852,378,376,291,255
45852,325,283,280,302,295,292,273,254
45853,1526,293,280,279,292,287,272,256
45854,3439,578,307,280,301,294,271,256
45855,4084,2357,1140,297,372,334,272,262
45856,4095,3661,2850,502,1758,1296,280,278
45857,4095,4084,3836,1908,3144,2610,313,375
45858,4095,4095,4095,3080,3892,3638,1406,2708
45859,4095,4095,4095,3804,4095,4063,3200,3886
45860,4095,4095,4095,4060,4095,4095,3932,4088
