row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
29766,4000,4095,4095,4095,4095,4095,4095,3988
29767,3880,4095,4095,4095,4095,4095,4095,3844
29768,3708,4095,4095,4095,4095,4095,4095,3646
29769,3468,4095,4095,4095,4095,4095,4095,3353
29770,3094,4095,4095,4095,4095,4073,4095,2996
29771,2792,4095,4095,4095,4095,4040,4088,2544
29772,2348,4079,4095,4095,4088,3972,4062,2062
29773,1839,4040,4072,4095,4052,3801,4020,1490
29774,1278,3972,4032,4095,3968,3278,3919,735
29775,403,3736,3948,4095,3848,2752,3704,345
29776,326,3372,3759,4068,3480,1980,3316,305
29777,298,2820,3293,4020,2890,1231,2820,288
29778,287,2180,2436,3928,1901,371,2082,275
29779,277,1380,1308,3725,714,302,1170,267
29780,273,501,339,3274,319,284,386,263
29781,271,319,288,2237,294,278,301,259
29782,270,289,276,996,289,275,284,257
29783,269,279,271,314,285,272,276,255
29784,270,274,269,282,286,274,271,256
29785,269,271,268,269,286,273,269,253
29786,269,270,267,262,284,273,270,253
29787,269,270,266,261,287,274,270,254
29788,268,269,267,260,288,276,269,255
29789,269,269,266,259,292,281,269,254
29790,269,270,268,257,313,288,269,253
29791,269,270,266,259,591,303,268,253
29792,269,271,265,259,1873,357,269,253
29793,268,269,266,260,3020,1258,269,254
29794,269,270,265,259,3320,1948,270,253
29795,268,269,266,260,3439,2552,270,253
29796,268,268,265,261,3444,2790,269,254
29797,269,269,265,261,3238,2657,272,253
29798,268,269,266,266,2678,2264,271,253
29799,270,268,264,271,1756,1716,271,253
29800,269,269,265,278,652,974,272,252
29801,269,269,265,287,320,373,272,252
29802,269,269,264,303,297,313,274,251
29803,268,269,265,336,288,296,276,252
29804,269,268,264,773,286,288,278,251
29805,267,268,264,1341,284,283,280,252
29806,270,268,265,1928,283,280,285,251
29807,269,269,266,2228,283,279,286,251
29808,268,269,267,2636,284,280,293,251
29809,269,268,268,2816,281,279,303,251
29810,270,268,269,2979,282,282,308,252
29811,269,268,269,3054,282,286,324,252
29812,270,268,269,3092,282,290,333,252
29813,269,271,270,3142,284,306,347,251
29814,269,270,273,3146,284,318,372,251
29815,268,270,272,3136,283,331,399,250
29816,268,268,273,3124,283,364,459,250
29817,268,268,274,3132,283,400,509,250
