row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
47717,3832,4095,4095,4095,4095,4034,4095,3276
47718,3640,4095,4095,4095,4032,3484,3976,646
47719,2568,3822,3960,4095,3576,2277,3228,266
47720,2026,3396,3384,4028,2462,552,965,253
47721,1053,2376,1936,3014,408,292,282,253
47722,347,1176,380,1466,292,278,270,252
47723,310,358,289,309,281,276,268,251
47724,300,307,282,279,287,282,267,253
47725,298,298,306,276,382,299,266,252
47726,295,300,1101,293,2440,484,266,253
47727,296,326,2671,400,3330,2344,272,252
47728,293,817,3460,2048,3544,3493,286,252
47729,291,1687,3576,3024,3608,3564,1644,253
47730,288,2316,3612,3551,3612,3582,2904,253
47731,286,2278,3620,3616,3604,3584,2988,253
47732,288,2230,3618,3604,3540,3560,3033,252
47733,285,2168,3610,3535,3130,3380,3029,253
47734,285,1988,3598,2673,2261,1972,2680,252
47735,284,1440,3592,1504,369,294,304,252
47736,284,426,3584,1900,292,273,267,253
47737,285,304,3528,3200,325,278,265,251
47738,284,287,3374,3540,2218,298,265,252
47739,284,282,3368,3569,3572,1788,265,250
47740,284,292,3493,3580,3609,3476,265,251
47741,284,316,3564,3589,3612,3510,266,253
47742,286,380,3558,3573,3500,3508,267,252
47743,285,491,3416,2944,3004,3126,315,256
47744,285,614,2674,362,1346,672,2760,260
47745,285,739,1600,272,286,284,3208,259
47746,287,861,916,268,277,306,3332,258
47747,285,984,782,268,276,1244,3320,256
47748,284,1160,1148,268,277,2904,3286,256
47749,285,1380,2114,269,284,3478,3238,255
47750,286,1314,3006,273,318,3524,3168,253
47751,285,852,3407,281,457,3534,3073,251
47752,287,404,3497,316,1960,3548,2998,251
47753,286,328,3516,1500,3480,3544,2876,252
47754,288,303,3444,3185,3550,3496,2732,252
47755,289,286,3032,3484,3373,3140,2540,253
47756,288,282,1111,2910,1632,1026,1964,252
47757,289,280,288,627,290,282,300,251
47758,290,279,271,278,277,270,266,251
47759,297,280,270,267,277,270,266,251
47760,602,281,270,266,275,270,266,252
47761,2776,329,283,266,280,277,267,263
47762,4020,2246,1449,284,1583,1570,284,2293
47763,4095,3940,3902,1800,4056,4095,3372,4092
