row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
41598,287,280,281,292,2072,288,266,252
41599,288,279,290,322,2564,307,267,253
41600,288,279,314,751,2868,376,266,253
41601,288,280,355,1476,3118,1264,267,255
41602,288,279,885,2076,3308,1914,269,255
41603,286,280,1868,2646,3464,2458,277,256
41604,287,280,2420,2974,3518,2852,308,258
41605,286,281,2786,3228,3508,3180,1021,257
41606,287,282,3040,3404,3499,3398,2520,258
41607,285,285,3200,3473,3500,3464,3136,258
41608,285,286,3325,3488,3496,3468,3172,259
41609,286,289,3385,3486,3496,3468,3180,259
41610,286,291,3418,3493,3500,3460,3214,258
41611,286,293,3425,3508,3468,3428,3288,259
41612,285,296,3440,3508,3278,3348,3311,260
41613,286,296,3454,3492,2740,3278,3262,258
41614,285,294,3470,3446,1724,3196,3173,258
41615,285,294,3448,3276,459,2910,3140,258
41616,286,294,3390,2964,303,2056,3198,258
41617,284,294,3352,2677,301,781,3244,258
41618,286,293,3384,2568,325,302,3256,256
41619,285,294,3449,2628,621,278,3208,253
41620,286,292,3471,2834,1352,274,2764,252
41621,286,292,3471,3052,1870,274,1774,251
41622,284,290,3454,3304,2628,278,339,251
41623,284,288,3429,3425,3128,284,279,249
41624,285,287,3389,3496,3438,293,269,250
41625,285,284,3356,3513,3516,313,267,249
41626,285,282,3310,3516,3532,343,268,250
41627,285,283,3260,3524,3545,452,267,249
41628,285,281,3225,3537,3564,991,267,252
41629,286,281,3220,3540,3572,1486,267,249
41630,285,283,3215,3544,3580,2044,266,250
41631,286,281,3240,3550,3584,2456,266,250
41632,287,284,3292,3554,3588,2648,268,249
41633,285,285,3326,3564,3594,2655,266,251
41634,288,290,3388,3567,3596,2701,266,250
41635,286,294,3444,3568,3597,2680,267,250
41636,288,304,3502,3568,3596,2616,265,250
41637,286,323,3534,3567,3596,2532,267,250
41638,286,363,3552,3560,3589,2488,267,250
41639,286,690,3565,3554,3572,2444,268,249
41640,286,1051,3568,3540,3532,2349,267,250
41641,287,1589,3566,3520,3395,2091,268,250
41642,287,1957,3556,3497,2860,1368,268,251
41643,286,2254,3540,3420,1685,353,268,252
41644,288,2400,3497,3190,374,291,268,251
41645,288,2436,3421,2783,291,274,267,251
41646,287,2456,3311,2206,279,271,267,251
41647,288,2464,3118,1340,277,270,268,252
41648,287,2468,2831,456,275,270,268,253
41649,288,2468,2430,305,276,269,267,252
41650,287,2538,2018,280,275,269,268,252
41651,286,2590,1900,272,274,272,268,253
41652,285,2648,2193,273,274,271,273,253
41653,285,2632,2642,277,276,271,298,253
41654,285,2624,3118,282,274,271,1090,252
41655,283,2597,3390,294,276,273,2338,251
41656,284,2632,3517,318,281,277,2418,251
41657,285,2600,3533,381,292,292,2400,252
41658,285,2305,3535,1016,354,351,2424,251
41659,285,1871,3532,1712,1254,1333,2525,252
41660,285,1367,3524,2326,2588,2764,2541,252
41661,285,746,3476,2792,3364,3425,2565,252
41662,286,346,3289,3156,3534,3516,2543,252
41663,285,304,2860,3404,3564,3528,2606,251
41664,283,289,2112,3500,3572,3530,2586,253
41665,283,283,1216,3488,3573,3516,2520,251
41666,285,280,350,3406,3564,3471,2450,252
41667,285,278,296,2992,3526,3400,2282,250
41668,284,277,281,2156,3360,3188,1468,251
41669,286,277,272,914,2488,2236,302,252
41670,292,277,270,319,1046,644,272,251
41671,309,277,269,287,303,291,268,251
41672,388,279,270,275,282,273,268,252
41673,1169,284,272,269,277,270,268,253
41674,2184,299,276,268,277,269,269,252
41675,3236,356,290,268,279,274,270,252
41676,3876,1292,335,271,288,277,269,255
41677,4094,2464,1281,280,330,301,270,263
41678,4095,3484,2752,314,1710,1235,277,301
41679,4095,4020,3798,1270,3450,3348,344,2131
41680,4095,4095,4094,2796,4028,4076,2986,3822
41681,4095,4095,4095,3848,4095,4095,4028,4084
