row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
54305,4012,4095,4095,4095,4095,4095,4095,3917
54306,3908,4095,4095,4095,4095,4095,4095,3772
54307,3828,4095,4095,4095,4095,4095,4095,3090
54308,3528,4095,4095,4095,4095,4056,4084,1246
54309,3114,4095,4095,4095,4095,3964,4034,310
54310,2656,4080,4088,4095,4030,3758,3948,286
54311,1860,4002,4000,4095,3792,2500,3496,281
54312,519,3684,3823,4076,3324,1738,2488,283
54313,325,3246,3400,4008,2265,1900,1954,284
54314,292,2236,1860,3796,1216,1630,1978,281
54315,277,997,320,2942,1301,1509,1975,283
54316,272,309,283,350,1090,1342,1884,282
54317,270,284,280,288,864,1033,1380,278
54318,270,278,276,282,1322,1412,1368,279
54319,269,273,275,278,849,1128,1358,277
54320,269,273,273,274,940,1224,1269,279
54321,270,271,271,277,1137,1260,1342,279
54322,269,270,272,275,883,938,1236,280
54323,271,269,272,270,860,977,1204,276
54324,270,271,272,271,1004,757,1130,279
54325,270,271,273,270,2296,716,1325,278
54326,270,272,275,269,3348,1149,937,272
54327,268,270,270,269,3604,1288,1031,277
54328,269,270,272,268,3652,1274,888,279
54329,268,270,274,271,3708,1844,906,276
54330,267,270,270,269,3740,2005,917,278
54331,267,269,269,273,3774,2309,650,276
54332,268,268,269,282,3750,2472,667,278
54333,268,269,270,297,3712,2760,865,278
54334,267,269,272,336,3672,3029,426,274
54335,268,269,270,761,3384,3068,633,274
54336,268,269,269,1622,2241,2777,559,274
54337,266,269,269,2332,940,2319,397,275
54338,268,267,269,2726,460,1718,431,278
54339,268,269,272,2926,334,1290,429,273
54340,267,269,270,3081,336,1028,453,273
54341,267,268,268,3128,325,408,348,273
54342,268,268,271,3223,343,353,345,273
54343,268,267,270,3220,323,343,397,274
54344,268,269,272,3200,317,324,349,271
54345,267,267,270,3206,310,312,339,271
54346,268,268,272,3215,317,313,342,273
54347,270,268,272,3196,317,313,347,273
54348,268,268,271,3186,314,308,336,271
54349,269,268,271,3136,317,325,353,270
54350,267,269,269,3097,305,305,336,271
54351,268,270,272,3092,308,304,329,269
54352,268,268,271,3066,309,305,339,272
54353,269,269,272,3032,308,307,330,269
54354,270,268,268,2980,313,310,332,267
54355,268,269,267,2940,308,300,322,270
54356,269,267,268,2916,310,302,330,268
54357,269,270,268,2868,312,305,327,270
54358,269,267,268,2828,305,300,321,269
54359,270,268,270,2821,308,301,316,270
54360,269,269,268,2762,306,301,309,268
54361,267,268,267,2742,301,297,305,267
54362,268,269,266,2726,310,298,302,267
54363,268,268,268,2646,300,297,307,266
54364,269,267,269,2607,302,297,306,266
54365,268,268,266,2472,303,293,298,267
54366,268,269,266,2346,301,295,300,266
54367,268,268,267,2140,302,300,304,265
54368,268,270,266,1908,299,290,297,266
54369,268,269,266,1673,300,292,300,266
54370,268,268,267,1368,300,291,294,265
54371,269,269,266,964,302,292,300,264
54372,269,270,267,404,302,292,299,264
54373,267,268,267,320,302,291,296,263
54374,270,269,267,299,307,293,298,263
54375,267,269,266,287,312,291,296,264
54376,268,270,266,279,320,290,294,263
54377,268,268,266,274,335,292,294,264
54378,269,268,267,270,368,292,295,262
54379,268,270,265,268,450,291,292,262
54380,269,269,267,266,915,291,292,262
54381,268,268,266,265,1178,290,292,262
54382,268,269,268,265,1582,291,290,262
54383,270,268,266,263,1922,289,291,262
