row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
25042,3878,4095,4095,4095,4095,4095,4095,4095
25043,3678,4095,4095,4095,4095,4095,4095,4044
25044,3104,4095,4095,4095,4095,4095,4095,3908
25045,2112,4068,4095,4095,4095,4066,4095,3209
25046,785,3900,4040,4095,4058,3928,4052,1417
25047,305,3208,3796,4095,3892,3140,3932,293
25048,281,2216,2940,4020,3032,1152,3332,263
25049,272,1042,1265,3820,1018,302,1250,255
25050,268,314,298,3119,332,296,303,254
25051,269,285,276,1121,316,299,287,253
25052,270,277,271,298,304,294,287,254
25053,267,272,269,268,303,292,286,253
25054,269,271,270,266,303,288,281,253
25055,268,271,270,267,317,293,282,254
25056,268,270,270,265,313,291,281,253
25057,268,271,269,265,351,290,279,253
25058,268,270,269,268,1420,295,282,253
25059,269,270,270,265,2660,294,283,253
25060,269,271,269,271,3144,293,278,252
25061,268,270,274,316,3556,321,282,252
25062,268,268,280,1270,3556,386,284,253
25063,268,269,290,2357,3552,623,276,253
25064,269,270,310,3212,3656,1337,276,253
25065,268,268,348,3311,3650,2129,279,255
25066,270,269,668,3320,3488,2564,277,252
25067,268,268,1180,3374,3400,2806,273,253
25068,268,268,1753,3372,2682,3252,278,252
25069,269,268,2141,3260,762,3328,279,251
25070,268,269,2573,3008,309,3312,277,252
25071,267,270,2804,2172,298,3277,275,253
25072,268,269,2928,1112,296,3196,277,252
25073,268,270,3004,323,293,3058,277,253
25074,269,269,3028,289,288,2744,277,252
25075,268,269,3068,276,288,2414,276,253
25076,268,269,3084,270,289,2078,274,251
25077,268,269,3064,268,288,1780,275,252
25078,267,270,3052,266,287,1402,275,252
25079,268,270,3030,264,284,1033,275,250
25080,268,269,3035,264,286,792,276,251
25081,267,268,3038,262,286,449,275,250
25082,267,269,3021,262,286,314,274,251
25083,267,269,3022,261,284,283,273,251
25084,268,269,3012,260,284,274,270,251
25085,268,269,3012,260,284,275,271,251
25086,268,271,3014,260,283,274,269,252
25087,267,269,2996,260,283,274,270,252
25088,266,270,2973,260,285,274,271,251
25089,267,269,2924,261,282,274,269,251
25090,268,269,2852,263,282,274,270,251
25091,267,269,2775,263,282,273,269,251
25092,267,268,2652,264,282,273,271,251
25093,267,269,2433,266,284,276,271,252
25094,268,268,2220,268,284,275,269,252
25095,267,270,1972,272,284,275,270,252
25096,268,269,1844,275,284,274,270,251
25097,266,268,1406,283,285,273,269,251
25098,267,267,903,300,290,273,269,252
25099,267,268,386,335,303,273,268,252
25100,268,267,306,1152,672,273,269,251
25101,267,269,287,2050,2166,272,268,252
25102,267,269,274,2772,3119,272,268,250
25103,267,268,269,2942,3249,272,267,252
25104,267,268,269,2606,3266,272,268,251
25105,269,269,270,2155,3247,274,268,251
25106,268,268,278,1978,3199,272,268,251
25107,267,269,294,2104,3080,273,269,252
25108,268,268,337,2692,2464,274,268,250
25109,269,267,1057,3137,1145,273,268,251
25110,270,267,1929,3249,313,272,268,251
25111,269,269,2412,3087,285,272,268,251
25112,268,268,2769,2392,281,270,268,252
25113,269,270,2958,1354,280,271,267,250
25114,268,269,3036,346,280,270,265,252
25115,268,270,3048,290,280,272,267,252
25116,269,270,2976,272,279,271,266,250
25117,269,270,2794,265,279,270,266,250
25118,267,270,2562,262,279,269,266,250
25119,268,271,2172,261,277,270,268,251
25120,269,272,1744,260,277,269,266,251
25121,269,272,1412,259,278,270,267,250
25122,268,274,1109,260,278,272,268,251
25123,268,274,902,258,278,273,266,252
25124,269,276,719,257,278,277,268,251
25125,268,278,617,257,279,286,268,252
25126,266,279,594,258,279,301,267,251
25127,270,278,599,258,278,364,268,251
25128,268,277,609,256,278,1251,267,252
25129,267,278,676,259,278,1741,269,251
25130,269,276,870,260,280,1887,269,249
25131,269,274,1092,260,280,1937,269,249
25132,269,274,1261,260,281,2225,268,252
25133,268,273,1493,259,279,2460,267,249
25134,267,271,1747,256,278,2632,268,250
25135,267,272,2091,259,281,2866,268,250
25136,267,271,2405,258,279,3008,269,251
25137,267,270,2646,259,279,3108,267,249
25138,267,270,2904,260,283,3200,268,249
25139,268,270,3013,260,283,3236,267,252
25140,268,269,3116,260,282,3240,267,250
25141,267,269,3228,262,288,3208,265,250
25142,267,269,3256,264,306,3148,266,250
25143,268,269,3232,269,646,3036,265,250
25144,267,268,3164,276,1806,2869,266,249
25145,267,268,2988,303,3124,2542,267,251
25146,267,268,2664,868,3526,2105,266,251
25147,269,269,2236,2128,3560,1392,267,251
25148,268,270,1567,3064,3544,383,266,251
25149,269,269,500,3340,3506,301,268,251
25150,269,269,302,3358,3422,280,267,249
25151,271,270,278,3272,3188,274,269,250
25152,270,269,269,2940,2093,271,267,251
25153,273,270,268,1967,344,272,267,251
25154,278,269,267,390,285,272,268,251
25155,292,270,267,282,280,274,269,249
25156,345,272,267,265,278,273,269,252
25157,1436,278,267,260,280,274,269,252
25158,2610,291,271,260,282,277,271,253
25159,3544,342,287,259,289,283,271,257
25160,3940,1298,339,264,315,302,274,265
25161,4052,2448,1544,271,941,668,279,291
25162,4076,3500,3046,290,2405,2316,295,858
25163,4084,3976,3858,470,3552,3528,652,2668
25164,4092,4095,4076,2056,4004,4040,2408,3716
25165,4092,4095,4095,3374,4095,4095,3754,4050
