row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
6855,4079,4095,4095,4095,4095,4095,4095,3941
6856,4002,4095,4095,4095,4095,4072,4095,3412
6857,3680,4095,4095,4095,4064,3780,4044,2004
6858,2840,3996,3948,4095,3672,2824,3604,316
6859,1515,3244,3128,3924,2436,1132,1908,263
6860,341,1933,1689,3036,695,306,312,254
6861,293,614,348,1482,294,280,271,252
6862,285,301,285,321,284,277,268,254
6863,284,283,275,281,294,276,268,253
6864,283,284,276,278,342,279,267,253
6865,281,282,280,292,1605,283,268,253
6866,281,281,286,360,2580,294,267,253
6867,282,281,301,1686,2116,320,266,253
6868,281,282,343,2421,726,595,266,252
6869,281,282,841,1982,305,1225,267,253
6870,283,282,1397,948,288,1460,266,252
6871,282,282,1700,321,282,1406,267,252
6872,282,281,1724,290,280,1188,267,253
6873,283,281,1564,282,283,956,265,251
6874,284,282,1415,279,281,897,265,251
6875,284,282,1391,279,282,1028,265,253
6876,283,282,1487,278,281,1329,266,253
6877,285,282,1602,280,282,1692,267,253
6878,284,281,1625,285,285,1961,267,253
6879,285,282,1383,295,288,1976,267,253
6880,283,282,701,328,329,1396,266,254
6881,284,283,320,1018,1754,353,266,252
6882,284,282,292,1982,3182,299,266,253
6883,284,282,286,2380,3412,303,268,253
6884,285,283,295,2368,2600,427,266,253
6885,284,283,332,2452,980,1602,268,253
6886,285,284,819,1846,304,2124,267,253
6887,284,284,1388,637,286,1884,269,252
6888,285,284,1620,305,280,1184,270,253
6889,284,284,1626,286,281,570,270,253
6890,285,284,1518,280,281,366,270,252
6891,284,284,1420,278,280,352,271,252
6892,283,283,1384,277,281,367,271,252
6893,283,284,1418,277,281,699,270,254
6894,283,282,1472,280,281,1550,268,253
6895,283,282,1416,286,283,2340,268,254
6896,284,282,868,316,299,2332,268,253
6897,283,283,325,1280,1169,1364,267,253
6898,283,282,290,2310,3016,315,268,254
6899,284,282,281,1864,2030,281,268,253
6900,290,284,276,336,312,276,266,254
6901,343,285,278,282,284,284,267,266
6902,1942,326,300,276,316,356,282,433
6903,3712,1822,1636,322,2541,2970,1784,3852
6904,4063,3712,3800,2420,4060,4095,4042,4092
