row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
47830,3976,4095,4095,4095,4095,4060,4095,3672
47831,3269,4079,4072,4095,3950,3370,3972,302
47832,1476,3552,3445,3988,2063,324,530,255
47833,285,1103,499,2012,283,272,272,253
47834,272,276,270,277,275,270,270,254
47835,272,270,266,261,278,284,270,251
47836,272,269,269,271,351,1912,276,252
47837,271,268,295,2192,2933,3480,576,252
47838,272,270,2684,3402,3108,3462,2526,255
47839,270,270,3262,1612,612,1202,2910,258
47840,272,272,2766,267,286,280,2920,256
47841,273,273,2290,261,279,272,3006,256
47842,274,273,2840,267,276,271,3040,256
47843,270,280,3372,292,275,271,3144,259
47844,272,321,3285,1889,277,271,3142,305
47845,270,630,609,1882,369,270,3126,308
47846,270,488,281,292,3024,281,3108,271
47847,270,413,299,261,2892,3426,3336,257
47848,269,303,810,258,401,3317,3178,254
47849,269,278,2886,260,274,1502,306,250
47850,268,269,2702,290,276,1622,273,251
47851,269,268,343,3200,307,3388,271,253
47852,268,268,267,2972,3502,3352,269,253
47853,270,268,264,281,3180,993,268,253
47854,270,267,264,259,276,271,270,254
47855,279,269,266,258,276,276,274,287
47856,4024,2008,2506,311,3957,4092,4052,4095
