row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
39800,273,272,267,274,2118,269,266,252
39801,277,290,272,500,2857,272,265,251
39802,293,1194,290,2665,3385,272,266,252
39803,680,3082,339,3228,3448,279,264,252
39804,2222,3450,1914,3382,3493,298,265,251
39805,3228,3542,3326,3445,3532,932,265,252
39806,3449,3564,3502,3470,3541,1390,267,251
39807,3492,3570,3477,3476,3541,1376,265,249
39808,3492,3548,3452,3212,3538,1426,266,251
39809,3492,3124,3425,1860,3520,1470,266,251
39810,3480,1871,3398,346,3470,1605,268,251
39811,3471,431,3336,293,3304,1746,266,250
39812,3464,520,2297,281,3188,1865,265,251
39813,3444,1924,279,269,3144,2024,267,252
39814,3098,3216,267,261,3118,2078,266,251
39815,2664,3530,649,267,3180,2104,266,250
39816,2124,3544,3444,299,3496,2044,267,249
39817,463,3532,3448,2614,3549,2009,266,251
39818,285,3488,3471,3438,3544,2981,267,252
39819,273,2537,3448,3436,3514,3278,268,251
39820,269,340,1724,3392,3084,2964,268,252
39821,270,269,278,3256,285,2706,267,251
39822,268,268,279,3054,281,2799,266,252
39823,269,267,281,2985,308,2957,270,251
39824,268,268,283,3092,3308,2835,269,250
39825,270,268,285,3324,3486,1230,268,251
39826,270,268,286,3332,3352,293,268,251
39827,271,268,280,3196,2412,270,267,252
39828,272,266,271,2196,307,270,268,252
39829,272,268,264,274,276,270,268,252
39830,277,268,264,257,276,272,267,253
39831,563,270,265,258,278,274,269,262
39832,3996,978,336,263,338,396,277,954
39833,4095,4021,3988,1580,4008,4060,3528,4012
