row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
63533,3940,4095,4095,4095,4095,4095,4095,4095
63534,3620,4095,4095,4095,4095,4095,4095,4095
63535,3054,4094,4095,4095,4095,4095,4095,4076
63536,2332,3938,4095,4095,4095,4095,4095,3964
63537,1572,3535,4014,4095,4044,4028,4095,3548
63538,754,2892,3720,4068,3804,3740,4072,2568
63539,332,2044,2982,3884,3140,2988,3924,1053
63540,300,1037,1812,3220,1839,1637,3266,290
63541,288,333,382,2002,344,326,1497,261
63542,286,298,294,519,289,286,302,254
63543,286,286,278,302,282,292,275,253
63544,286,281,271,278,284,329,269,252
63545,287,280,270,270,292,1296,269,252
63546,287,279,270,267,305,2511,267,252
63547,288,278,270,263,322,3236,267,252
63548,288,280,272,264,339,3401,267,253
63549,287,282,273,265,350,3420,267,252
63550,289,287,274,264,354,3428,266,253
63551,287,293,278,264,356,3436,267,253
63552,289,301,283,264,363,3440,266,253
63553,288,318,291,263,369,3442,266,253
63554,288,352,304,264,379,3439,265,252
63555,288,600,329,262,387,3441,266,251
63556,288,1037,408,263,384,3449,266,252
63557,288,1400,811,262,373,3456,267,252
63558,287,1636,1160,263,360,3468,270,251
63559,287,1824,1412,263,362,3476,271,251
63560,287,1958,1623,264,362,3484,273,251
63561,287,1990,1817,265,358,3488,275,253
63562,288,1967,2060,265,353,3492,282,253
63563,288,1940,2336,267,349,3496,293,253
63564,288,1925,2662,270,342,3496,323,251
63565,288,1888,2972,272,327,3476,677,253
63566,288,1802,3218,276,310,3432,1379,256
63567,288,1652,3351,280,300,3348,1894,256
63568,288,1455,3428,289,290,3200,2452,261
63569,287,1217,3460,302,286,3028,2966,265
63570,288,896,3480,343,282,2942,3172,270
63571,287,461,3492,750,281,2952,3240,272
63572,286,341,3494,1272,282,3025,3301,271
63573,285,314,3496,1708,282,3122,3350,272
63574,285,303,3492,2132,285,3228,3378,274
63575,287,296,3484,2554,290,3344,3396,276
63576,286,290,3476,2872,299,3445,3404,277
63577,286,288,3460,3114,320,3502,3412,278
63578,285,284,3416,3276,401,3516,3416,281
63579,286,282,3332,3380,1020,3528,3424,281
63580,287,282,3204,3448,1678,3535,3429,281
63581,287,281,3020,3484,2312,3540,3428,280
63582,285,280,2746,3502,2977,3546,3422,280
63583,286,280,2416,3508,3425,3541,3420,280
63584,286,282,2063,3514,3592,3520,3409,278
63585,287,279,1705,3518,3598,3480,3396,271
63586,285,279,1357,3516,3600,3400,3366,267
63587,285,278,1132,3513,3608,3284,3314,260
63588,287,278,1060,3509,3604,3081,3238,256
63589,285,277,1073,3506,3604,2744,3108,253
63590,286,277,1080,3505,3602,2273,2620,253
63591,284,277,1096,3505,3592,1704,1516,253
63592,284,276,1097,3504,3584,1036,342,253
63593,284,278,1094,3501,3576,422,283,252
63594,284,277,1084,3496,3570,331,268,252
63595,285,277,1111,3496,3564,307,267,253
63596,285,278,1142,3497,3560,301,265,252
63597,286,276,1129,3496,3566,307,265,252
63598,285,277,1040,3496,3576,330,266,252
63599,285,278,872,3488,3576,446,264,251
63600,285,278,598,3476,3572,637,265,251
63601,285,278,360,3454,3572,708,265,251
63602,285,278,320,3392,3567,815,265,252
63603,285,279,298,3162,3564,1060,265,252
63604,286,277,287,2536,3558,1428,264,250
63605,283,277,279,1612,3546,1900,267,252
63606,284,279,278,698,3524,2318,266,252
63607,285,278,274,325,3484,2508,266,252
63608,285,280,273,292,3388,2488,265,252
63609,285,280,273,280,3213,2396,266,252
63610,286,279,272,274,3036,2296,265,253
63611,286,280,274,272,2908,2216,265,252
63612,289,280,274,270,2854,2130,267,253
63613,288,281,272,271,2828,2040,267,254
63614,289,281,274,271,2732,1967,266,253
63615,290,282,275,269,2532,1896,266,254
63616,292,282,274,272,2244,1790,267,255
63617,292,282,276,270,1916,1635,267,256
63618,292,283,275,270,1756,1362,268,256
63619,294,282,276,270,1703,985,267,255
63620,296,285,277,271,1484,496,266,256
