row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
29029,3982,4095,4095,4095,4095,4095,4095,4095
29030,3806,4095,4095,4095,4095,4095,4095,4095
29031,3456,4095,4095,4095,4095,4095,4095,4095
29032,2920,4095,4095,4095,4095,4095,4095,4095
29033,2224,4088,4095,4095,4095,4095,4095,4095
29034,1514,3992,4095,4095,4095,4095,4095,4095
29035,800,3770,4079,4095,4095,4095,4095,4095
29036,352,3417,4008,4095,4095,4095,4095,4095
29037,309,2936,3836,4095,4095,4095,4095,4095
29038,293,2428,3572,4095,4076,4095,4095,4095
29039,286,1966,3250,4081,4040,4072,4095,4093
29040,283,1614,2964,4052,3984,4032,4095,4076
29041,281,1285,2662,4020,3904,3966,4095,4056
29042,280,940,2310,3960,3784,3864,4095,4015
29043,278,610,1952,3880,3642,3746,4095,3966
29044,278,383,1590,3764,3439,3566,4095,3872
29045,277,334,1144,3564,3144,3313,4095,3710
29046,276,312,624,3262,2740,2949,4072,3424
29047,275,299,348,2861,2246,2476,4032,3008
29048,277,290,310,2324,1604,1833,3918,2376
29049,276,283,292,1608,778,1012,3599,1464
29050,277,278,280,745,324,341,2888,369
29051,276,276,275,328,293,298,1862,290
29052,276,275,274,297,283,282,722,270
29053,275,275,273,282,280,276,307,260
29054,275,275,278,275,279,274,279,255
29055,275,275,281,269,277,273,270,255
29056,275,275,291,268,277,274,268,253
29057,275,276,311,268,278,273,266,252
29058,275,276,393,267,277,273,267,254
29059,274,275,1110,268,277,273,266,253
29060,275,276,1768,269,277,271,267,253
29061,275,273,2223,270,277,272,266,253
29062,275,275,2525,274,276,271,265,253
29063,275,274,2700,277,277,273,266,252
29064,276,274,2788,282,276,272,266,251
29065,275,274,2828,289,277,272,266,253
29066,276,274,2830,298,277,272,268,253
29067,275,274,2822,311,277,272,266,252
29068,274,274,2812,335,278,272,265,252
29069,275,274,2809,443,278,272,266,252
29070,275,274,2805,949,278,272,265,252
29071,274,273,2796,1428,278,272,266,252
29072,274,272,2776,1824,278,271,265,251
29073,273,273,2749,2144,277,273,267,251
29074,275,272,2717,2332,279,273,267,252
29075,274,273,2688,2372,282,273,265,251
29076,275,273,2666,2309,284,273,266,252
29077,276,273,2638,2160,288,273,267,252
29078,276,272,2620,1906,290,273,266,252
29079,274,272,2600,1616,295,272,265,253
29080,276,272,2580,1285,301,272,265,252
29081,276,272,2558,895,307,271,266,252
29082,274,272,2534,507,315,273,265,252
29083,275,273,2512,350,329,272,265,252
29084,275,272,2492,322,356,272,265,252
29085,274,272,2476,308,452,272,265,251
29086,274,273,2457,300,749,272,266,251
29087,274,272,2445,293,1046,272,266,252
29088,273,272,2432,287,1296,273,265,251
29089,275,273,2425,283,1496,276,266,251
29090,273,274,2424,280,1713,274,265,252
29091,274,272,2415,275,1871,274,265,251
29092,274,271,2404,274,1924,275,265,251
29093,274,274,2381,272,1860,273,265,251
29094,274,272,2366,271,1698,274,265,252
29095,273,271,2356,270,1504,277,264,251
29096,273,275,2370,270,1220,281,264,251
29097,274,283,2520,270,869,284,264,253
29098,273,297,2848,272,844,290,264,251
29099,272,320,3168,281,1518,297,266,252
29100,273,1323,3330,331,2720,306,265,251
29101,274,2300,3215,1830,3358,315,263,253
29102,275,2885,2892,3045,3076,318,264,251
29103,273,2276,2588,2626,1944,302,264,252
29104,272,1273,2396,1030,348,285,264,252
29105,273,271,2334,301,285,276,265,251
29106,272,272,2349,273,276,271,264,252
29107,273,271,2400,265,275,270,264,251
29108,274,272,2473,266,274,270,264,252
29109,272,272,2557,265,274,270,264,251
29110,273,272,2652,265,274,269,265,251
29111,272,270,2766,264,276,269,265,252
29112,273,273,2868,263,275,270,264,251
29113,273,272,2938,263,274,270,264,252
29114,274,273,2920,263,275,270,265,253
29115,272,272,2664,263,275,270,264,254
29116,273,272,2008,264,275,270,264,253
29117,277,272,790,261,275,268,264,253
29118,288,271,296,261,274,270,265,252
29119,336,271,272,261,276,269,264,252
29120,1782,275,266,260,275,269,264,252
29121,3436,295,268,260,276,269,265,251
29122,4044,890,281,260,276,271,265,251
29123,4095,3000,839,263,282,274,266,252
29124,4095,4040,3444,291,454,296,268,255
29125,4095,4095,4095,2024,3292,1906,271,266
29126,4095,4095,4095,3922,4069,3944,372,733
29127,4095,4095,4095,4095,4095,4095,3570,3700
