row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
5453,1390,331,274,271,2398,1022,266,252
5454,2242,1196,276,270,2606,2220,265,250
5455,2392,2520,276,270,2572,2956,267,251
5456,2159,3252,282,270,2516,3342,267,252
5457,1654,3520,293,270,2359,3424,267,253
5458,879,3566,334,269,1732,3446,266,253
5459,364,3532,1165,270,631,3420,267,251
5460,323,3470,2292,272,436,3436,272,252
5461,312,3432,3065,280,1422,3470,278,251
5462,312,3377,3432,341,3048,3485,277,253
5463,312,3462,3525,2228,3526,3488,278,254
5464,310,3474,3572,3392,3508,3476,277,254
5465,306,3460,3584,3584,3420,3336,272,253
5466,301,3384,3584,3592,3434,2958,267,253
5467,295,3160,3584,3584,3226,1948,268,254
5468,291,2634,3532,3584,1910,349,267,256
5469,290,1280,3116,3576,334,282,267,256
5470,291,332,2572,3570,307,275,267,255
5471,290,288,2048,3562,322,273,268,256
5472,290,282,1692,3558,639,272,265,255
5473,289,280,1102,3536,1571,273,267,254
5474,288,280,328,3466,2445,272,266,254
5475,285,279,293,3333,2630,273,266,254
5476,287,278,277,2884,2815,273,266,253
5477,283,276,272,2204,3220,273,266,252
5478,283,277,267,1150,3388,270,266,252
5479,283,276,269,333,3384,270,265,251
5480,283,276,267,302,3396,271,267,250
5481,283,274,267,305,3386,271,268,251
5482,283,276,268,332,3332,271,268,252
5483,283,275,269,928,3296,269,266,250
5484,282,275,269,2270,3220,270,266,251
5485,283,276,271,2806,3008,268,265,250
5486,282,274,269,2916,2140,269,268,251
5487,283,274,268,2852,604,269,265,251
5488,285,274,269,1898,298,268,267,252
5489,286,274,266,329,277,269,268,252
5490,292,274,266,270,276,271,270,253
5491,313,275,266,262,279,275,276,253
