row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
14390,284,278,2201,336,1609,501,266,251
14391,284,278,2789,378,2188,645,265,250
14392,283,277,3042,360,2190,654,264,250
14393,283,278,3244,377,2148,700,266,252
14394,284,282,3396,420,2216,715,267,250
14395,284,280,3462,402,2682,702,268,251
14396,284,281,3470,1061,3372,741,267,251
14397,282,280,3469,2260,3544,768,264,252
14398,282,280,3416,3380,3549,815,265,249
14399,281,278,3221,3556,3549,781,265,250
14400,282,275,3017,3566,3508,673,266,250
14401,280,275,2872,3560,3292,330,266,251
14402,281,276,2888,3524,777,275,266,250
14403,283,277,2926,3500,288,270,268,252
14404,281,276,2972,3156,274,270,268,249
14405,281,276,3028,2588,273,271,269,249
14406,281,274,3066,2383,272,271,270,251
14407,280,275,3100,2284,274,269,270,252
14408,281,274,3096,2140,273,269,272,251
14409,281,274,2676,2004,275,272,272,251
14410,281,275,2033,1896,274,271,272,253
14411,281,273,1824,1814,276,273,275,252
14412,280,273,1804,1832,275,274,274,254
14413,280,273,2050,1835,275,275,274,251
14414,280,274,2588,1896,274,275,275,252
14415,280,275,3254,1718,273,274,277,253
14416,281,274,3288,1661,275,274,277,253
14417,281,274,3320,1413,276,276,280,254
14418,281,275,3157,369,278,280,282,254
14419,282,274,2345,280,277,278,285,254
14420,282,274,312,269,280,282,288,255
14421,284,273,268,262,281,286,290,255
14422,303,275,266,259,281,287,294,256
14423,1715,289,274,261,288,296,290,282
14424,4056,2286,2125,289,3796,4046,3128,4012
14425,4095,4088,4095,3688,4095,4095,4095,4095
