row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
50515,3832,4095,4095,4095,4095,4095,4095,4095
50516,3024,4095,4095,4095,4095,4095,4095,3988
50517,1892,4004,4078,4095,4095,4060,4095,3432
50518,581,3432,3788,4095,3960,3640,4047,2116
50519,292,1894,2350,3904,2912,1962,3548,343
50520,277,341,334,2692,407,306,1580,272
50521,274,282,275,352,281,272,291,258
50522,274,273,268,273,279,269,270,255
50523,274,273,265,262,279,270,268,256
50524,273,272,266,265,283,271,267,255
50525,272,273,266,280,286,271,268,255
50526,274,273,266,325,292,269,266,255
50527,273,272,266,1359,303,268,265,253
50528,273,272,267,1837,316,270,265,254
50529,273,272,267,1925,340,270,265,253
50530,274,272,267,1998,430,270,265,253
50531,274,270,266,2030,804,270,264,251
50532,273,271,267,2066,1167,268,265,253
50533,273,272,268,2085,1444,268,265,253
50534,273,272,267,2162,1676,270,265,251
50535,273,271,268,2228,1808,270,264,252
50536,274,272,266,2341,1897,269,265,251
50537,274,270,266,2408,1880,270,264,251
50538,273,272,267,2447,1856,271,266,250
50539,272,272,267,2464,1789,271,266,251
50540,273,273,268,2538,1653,272,265,252
50541,273,273,269,2612,1410,273,265,250
50542,273,272,270,2693,1072,273,264,252
50543,273,271,271,2732,698,275,265,251
50544,273,271,270,2741,384,280,265,253
50545,272,272,272,2776,325,287,265,252
50546,273,271,274,2778,304,297,265,253
50547,271,273,276,2766,294,315,265,252
50548,272,273,278,2721,288,361,266,251
50549,274,272,280,2669,284,792,266,252
50550,273,272,284,2626,280,1274,265,250
50551,273,271,284,2584,279,1580,265,250
50552,273,273,285,2520,277,1660,264,252
50553,273,272,288,2430,278,1542,265,251
50554,273,272,291,2324,276,1126,266,252
50555,273,273,294,2220,277,546,269,252
50556,274,273,296,2156,276,333,266,252
50557,274,277,302,2126,277,308,269,252
50558,274,286,353,2205,282,304,270,253
50559,274,301,1384,2328,315,343,275,252
50560,274,318,2716,2628,1805,1724,285,253
50561,272,305,2667,3016,2904,2789,289,252
50562,274,288,1205,3244,1549,1441,285,253
50563,272,276,328,2784,302,301,277,254
50564,272,274,317,2120,281,275,268,254
50565,273,274,323,1624,278,273,266,253
50566,274,276,336,1420,277,273,266,253
50567,272,274,369,1209,277,273,266,255
50568,273,281,749,1008,277,272,266,255
50569,272,298,1791,918,286,271,264,253
50570,274,329,2914,1441,317,271,266,253
50571,275,310,2507,2340,353,270,266,253
50572,284,288,547,2686,306,270,267,253
50573,346,277,276,548,280,271,267,251
50574,2316,288,270,278,275,271,268,253
50575,3820,595,292,266,281,274,269,251
50576,4072,2766,1496,277,341,309,271,262
50577,4088,4000,3748,612,3068,2545,296,380
50578,4094,4095,4095,3424,4084,4088,3094,3776
