epoch,train_loss,train_acc,val_loss,val_acc
1.000000,2.311501,0.142857,2.305598,0.200000
2.000000,2.307213,0.107143,2.301310,0.166667
3.000000,2.301559,0.135714,2.291273,0.200000
4.000000,2.291277,0.171429,2.268130,0.200000
5.000000,2.257581,0.192857,2.208261,0.266667
6.000000,2.213340,0.207143,2.099560,0.333333
7.000000,2.077775,0.342857,1.973162,0.233333
8.000000,2.025247,0.292857,1.865638,0.433333
9.000000,1.951890,0.350000,1.749460,0.533333
10.000000,1.814158,0.392857,1.650541,0.500000
11.000000,1.838023,0.450000,1.616348,0.533333
12.000000,1.703367,0.457143,1.600904,0.533333
13.000000,1.691396,0.471429,1.515628,0.633333
14.000000,1.750429,0.442857,1.494177,0.466667
15.000000,1.612580,0.471429,1.503591,0.633333
16.000000,1.575974,0.535714,1.431881,0.633333
17.000000,1.577919,0.542857,1.487342,0.633333
18.000000,1.600132,0.528571,1.417736,0.600000
19.000000,1.568678,0.542857,1.464498,0.566667
20.000000,1.568877,0.485714,1.334629,0.633333
21.000000,1.509641,0.557143,1.333365,0.700000
22.000000,1.456904,0.628571,1.345021,0.600000
23.000000,1.455625,0.607143,1.414056,0.600000
24.000000,1.511312,0.550000,1.335438,0.666667
25.000000,1.506829,0.571429,1.408966,0.600000
26.000000,1.501704,0.550000,1.271116,0.633333
27.000000,1.385988,0.571429,1.303359,0.666667
28.000000,1.437445,0.571429,1.269536,0.666667
29.000000,1.421610,0.621429,1.265177,0.766667
30.000000,1.427358,0.607143,1.228624,0.700000
31.000000,1.384034,0.600000,1.241779,0.733333
32.000000,1.359490,0.657143,1.240983,0.733333
33.000000,1.352715,0.621429,1.326801,0.700000
34.000000,1.305903,0.642857,1.190380,0.733333
35.000000,1.358795,0.678571,1.216955,0.700000
36.000000,1.282329,0.650000,1.217145,0.733333
37.000000,1.348768,0.671429,1.147642,0.766667
38.000000,1.330674,0.657143,1.241536,0.700000
39.000000,1.300979,0.678571,1.169839,0.766667
40.000000,1.289458,0.685714,1.118365,0.833333
41.000000,1.264348,0.650000,1.163918,0.766667
42.000000,1.346349,0.621429,1.136602,0.800000
43.000000,1.212129,0.721429,1.153042,0.766667
44.000000,1.198633,0.757143,1.133039,0.800000
45.000000,1.162906,0.757143,1.124719,0.800000
46.000000,1.208037,0.714286,1.120399,0.800000
47.000000,1.294273,0.635714,1.145366,0.766667
48.000000,1.214308,0.707143,1.129012,0.733333
49.000000,1.210765,0.692857,1.192088,0.733333
50.000000,1.156791,0.735714,1.090065,0.833333
51.000000,1.230832,0.721429,1.166290,0.766667
52.000000,1.155915,0.750000,1.152229,0.766667
53.000000,1.182148,0.728571,1.091616,0.833333
54.000000,1.164103,0.692857,1.075981,0.800000
55.000000,1.063114,0.792857,1.078672,0.800000
56.000000,1.146470,0.735714,1.091703,0.833333
57.000000,1.188829,0.678571,1.160086,0.733333
58.000000,1.173743,0.735714,1.082270,0.833333
59.000000,1.103176,0.771429,1.031033,0.800000
60.000000,1.183071,0.742857,1.052704,0.866667
61.000000,1.093180,0.778571,1.068655,0.866667
62.000000,1.078668,0.778571,1.025317,0.866667
63.000000,1.112040,0.764286,1.041509,0.866667
64.000000,1.102987,0.807143,1.083237,0.833333
65.000000,1.112592,0.750000,1.023802,0.866667
66.000000,1.100951,0.764286,1.033311,0.866667
67.000000,1.042663,0.807143,1.033993,0.866667
68.000000,1.089007,0.742857,1.078733,0.833333
69.000000,1.105182,0.778571,1.053554,0.866667
70.000000,1.048226,0.800000,1.023135,0.866667
71.000000,1.026183,0.828571,1.047391,0.800000
72.000000,1.086905,0.792857,1.037589,0.833333
73.000000,1.096877,0.771429,1.016476,0.900000
74.000000,1.070291,0.771429,1.067515,0.800000
75.000000,1.060546,0.828571,1.058724,0.800000
76.000000,1.063667,0.792857,1.053365,0.800000
77.000000,1.013669,0.800000,1.027965,0.833333
78.000000,1.059808,0.771429,1.061925,0.766667
79.000000,0.979284,0.857143,1.057661,0.866667
80.000000,1.059079,0.828571,1.058015,0.800000
81.000000,1.064817,0.764286,1.005433,0.800000
82.000000,0.979031,0.842857,1.001755,0.833333
83.000000,1.055536,0.814286,0.992531,0.866667
84.000000,1.076434,0.771429,1.024784,0.866667
85.000000,1.007640,0.828571,1.000298,0.900000
86.000000,0.999213,0.850000,0.989300,0.866667
87.000000,0.993922,0.835714,0.998997,0.900000
88.000000,1.086956,0.785714,1.014975,0.833333
89.000000,0.980642,0.850000,0.984285,0.866667
90.000000,0.987672,0.835714,1.032833,0.800000
91.000000,1.011277,0.821429,1.058386,0.800000
92.000000,0.982847,0.835714,0.994643,0.800000
93.000000,1.018886,0.857143,1.013447,0.866667
94.000000,0.974960,0.842857,0.955077,0.833333
95.000000,0.939298,0.857143,0.960756,0.866667
96.000000,0.966823,0.857143,0.998523,0.833333
97.000000,0.984433,0.835714,0.980154,0.833333
98.000000,0.965883,0.835714,1.005051,0.800000
99.000000,0.945680,0.885714,1.017411,0.833333
100.000000,1.011616,0.821429,0.940119,0.900000
101.000000,1.011898,0.792857,0.976410,0.900000
102.000000,0.986730,0.850000,0.989485,0.866667
103.000000,0.995499,0.850000,1.002364,0.833333
104.000000,0.945760,0.857143,0.986035,0.833333
105.000000,0.976159,0.835714,1.014150,0.733333
106.000000,0.939625,0.878571,0.946569,0.866667
107.000000,0.954198,0.864286,0.966604,0.833333
108.000000,0.980333,0.828571,1.005156,0.866667
109.000000,0.894985,0.885714,0.938592,0.866667
110.000000,0.931990,0.878571,0.997996,0.800000
111.000000,0.942479,0.850000,0.977406,0.833333
112.000000,0.912972,0.864286,0.996471,0.833333
113.000000,0.914669,0.857143,0.994305,0.800000
