row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
30393,3896,4095,4095,4095,4095,4095,4095,4044
30394,3484,4095,4095,4095,4095,4095,4095,3960
30395,2605,4076,4095,4095,4095,4095,4095,3645
30396,1909,3864,4008,4095,4072,3993,4095,2978
30397,745,3276,3752,4095,3983,3720,4068,2368
30398,328,2702,3428,4084,3784,3384,4020,1816
30399,303,2048,2588,3960,2932,2242,3776,584
30400,285,934,1082,3256,1421,698,2676,292
30401,277,326,326,2322,351,310,1428,270
30402,276,295,293,1760,323,298,995,267
30403,277,285,276,336,284,277,305,259
30404,278,283,275,324,283,277,285,256
30405,277,278,272,284,281,275,276,256
30406,276,275,271,274,282,278,272,254
30407,275,274,272,270,286,281,269,253
30408,278,275,277,269,295,286,269,253
30409,277,276,283,268,309,290,269,254
30410,276,274,289,267,327,295,269,253
30411,276,276,305,280,964,316,269,254
30412,276,274,333,296,2060,362,269,255
30413,277,272,428,356,2880,631,268,253
30414,275,273,620,1199,3260,823,268,254
30415,275,271,652,2306,3272,955,267,253
30416,275,272,446,2895,3092,971,268,253
30417,276,272,384,3044,2735,1052,269,252
30418,275,271,321,3008,2188,1073,268,252
30419,277,272,303,2638,1392,1142,268,252
30420,276,272,289,1986,666,1162,268,251
30421,277,272,279,1167,335,1159,267,252
30422,276,272,274,410,308,1141,268,251
30423,275,271,269,307,298,1172,266,251
30424,276,272,267,293,298,1231,267,251
30425,276,272,267,281,296,1301,267,253
30426,276,272,268,269,294,1348,268,254
30427,276,270,266,266,294,1424,268,253
30428,275,270,267,264,293,1458,267,252
30429,274,271,265,263,294,1492,269,254
30430,276,272,268,262,291,1572,267,253
30431,275,273,267,264,290,1649,267,253
30432,274,272,266,263,291,1700,268,253
30433,275,272,267,262,288,1813,268,252
30434,276,272,266,261,286,1956,266,251
30435,274,273,265,262,286,2086,266,250
30436,274,271,266,262,285,2196,266,251
30437,274,272,265,261,284,2336,267,250
30438,274,272,266,261,286,2424,265,251
30439,274,272,267,260,291,2516,267,250
30440,273,271,265,261,300,2584,266,248
30441,273,272,267,263,333,2684,265,248
30442,273,271,267,264,729,2740,265,249
30443,275,273,268,271,2032,2809,266,250
30444,275,273,271,288,2948,2892,267,249
30445,274,271,275,325,3218,2950,266,250
30446,274,273,278,437,3316,3006,265,250
30447,276,273,288,1736,3284,3068,265,249
30448,276,272,300,2624,2934,3117,265,248
30449,275,271,334,3060,2144,3148,265,248
30450,275,272,755,3116,920,3140,265,248
30451,276,271,1369,2728,314,3076,265,249
30452,274,272,1929,1651,287,2870,266,248
30453,275,271,2308,569,280,2592,266,250
30454,274,273,2434,302,277,2092,265,250
30455,276,272,2456,282,278,1538,265,249
30456,273,273,2356,271,277,778,266,249
30457,274,272,2154,264,276,326,265,249
30458,274,273,1940,264,276,299,266,249
30459,274,272,1788,262,275,289,265,249
30460,276,272,1612,262,275,277,266,249
30461,274,273,1376,262,276,276,265,248
30462,274,273,1154,262,276,272,265,249
30463,273,273,1012,260,275,270,265,250
30464,274,273,736,261,275,271,264,248
30465,274,273,628,260,276,270,265,249
30466,274,273,722,260,274,269,264,248
30467,273,275,654,260,274,269,264,250
30468,273,274,731,259,274,268,263,249
30469,274,275,821,259,275,269,264,250
30470,273,278,909,258,273,269,264,250
30471,274,276,905,258,274,270,265,249
30472,273,278,951,259,274,270,264,249
30473,273,278,800,258,276,269,264,249
30474,273,279,797,257,273,271,265,249
30475,274,280,794,258,274,273,265,249
30476,274,280,793,259,276,276,265,249
30477,276,279,793,260,276,283,264,250
30478,274,279,795,260,275,289,265,248
30479,273,278,796,258,275,306,264,249
30480,274,278,798,259,276,326,266,249
30481,274,277,702,259,276,377,266,249
30482,274,276,706,259,277,828,265,248
30483,275,275,617,258,276,1530,265,248
30484,272,275,741,258,277,2176,264,249
30485,274,274,869,259,276,2618,265,250
30486,274,271,1000,258,277,2764,267,249
30487,273,271,1420,259,278,2688,266,249
30488,273,272,1997,258,278,2478,264,248
30489,273,271,2392,261,281,2054,265,248
30490,274,272,2636,261,291,1616,265,248
30491,273,270,2708,264,313,976,266,250
30492,274,272,2464,267,1226,347,266,250
30493,274,271,1976,284,2992,292,266,249
30494,273,272,1348,343,3375,276,266,249
30495,273,271,349,2100,3336,270,264,248
30496,274,271,290,3126,2944,270,265,248
30497,274,271,272,3052,1116,269,265,248
30498,281,272,266,1908,285,268,266,248
30499,304,272,265,315,279,269,265,248
30500,604,275,266,270,278,270,266,248
30501,1978,282,268,262,279,272,267,249
30502,3381,322,280,261,285,277,268,253
30503,4024,1702,455,264,322,308,270,263
30504,4095,3052,2316,280,1990,1753,280,308
30505,4095,3972,3914,1174,3828,3625,529,2480
30506,4095,4095,4095,3480,4092,4095,3384,3876
