row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
3129,3674,4095,4095,4095,4088,4014,4095,3605
3130,2632,3960,3977,4094,3656,3084,3980,986
3131,1099,2948,2922,3832,1563,426,2137,260
3132,300,1220,735,2076,289,276,278,254
3133,280,296,277,297,277,273,269,255
3134,279,276,267,262,279,273,267,254
3135,277,276,267,263,310,274,265,253
3136,277,276,272,273,2220,291,264,252
3137,275,275,302,291,3460,1010,264,253
3138,276,278,1364,478,3560,3032,266,253
3139,276,281,3136,2108,3588,3484,270,253
3140,275,286,3502,3316,3604,3544,275,254
3141,276,284,3528,3572,3616,3560,293,253
3142,273,283,3553,3584,3622,3576,359,252
3143,274,282,3524,3578,3588,3564,436,250
3144,275,279,3092,3556,3396,3564,1028,251
3145,273,274,1418,3492,3086,3566,2232,251
3146,272,270,303,3350,1680,3581,2924,251
3147,274,269,273,1724,292,3584,3006,250
3148,274,269,264,272,286,3589,3104,250
3149,273,269,266,260,292,3602,3150,250
3150,272,269,292,264,2340,3629,3216,249
3151,272,268,1590,380,3631,3648,3260,249
3152,274,268,2782,2776,3682,3658,3264,249
3153,273,268,3366,3419,3721,3656,2456,251
3154,274,269,3396,3590,3736,3644,1086,251
3155,273,269,3414,3598,3704,3640,291,253
3156,272,269,3436,3608,3702,3598,283,254
3157,274,269,3444,3604,3705,2808,280,287
3158,273,269,3452,3608,3694,290,333,414
3159,273,268,3272,3616,3612,286,1236,2636
3160,274,270,2520,3599,3424,303,3340,3053
3161,274,268,2509,3605,3542,355,3408,3064
3162,274,269,2074,3599,3752,2678,3482,3252
3163,273,269,363,3557,3728,3666,3409,3114
3164,272,269,281,3441,3750,3662,3684,3230
3165,272,268,272,3349,3696,3534,3700,3260
3166,273,268,269,3068,3628,3777,3732,2384
3167,273,267,267,1064,3770,3774,3712,2012
3168,273,269,268,333,3678,3722,3848,1764
3169,273,270,267,268,1261,3588,3844,289
3170,276,269,269,270,335,1285,3604,273
3171,439,281,273,272,784,1410,1626,285
3172,3712,2744,1802,275,1489,2833,2324,2569
3173,4092,4095,4095,3790,4068,4095,4064,4088
