row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
63336,281,330,2968,282,2282,273,276,255
63337,280,351,3461,1384,3388,279,274,256
63338,280,339,3513,3392,3504,284,274,254
63339,279,324,3521,3556,3536,309,273,255
63340,280,299,3452,3550,3554,1552,273,254
63341,279,282,2305,3514,3502,3128,272,256
63342,279,276,308,3242,2600,3460,273,256
63343,279,274,271,699,1354,3516,272,253
63344,277,273,268,268,966,3544,280,253
63345,278,273,268,264,327,3542,334,253
63346,278,272,271,277,2616,3552,341,253
63347,278,273,275,1345,3624,3556,361,253
63348,278,273,271,3136,3636,3550,390,252
63349,277,272,272,3124,3626,3552,499,251
63350,277,272,270,3045,3617,3540,692,251
63351,278,271,268,2972,3596,3396,795,252
63352,277,274,267,2924,3572,1213,337,252
63353,275,272,269,2892,3556,280,266,252
63354,276,272,265,2620,3548,284,267,260
63355,275,271,267,1321,3552,1294,433,264
63356,275,270,266,502,3556,3126,3340,266
63357,278,272,264,333,3546,3488,3422,267
63358,277,270,263,284,3503,3559,3448,266
63359,277,271,263,265,3124,3562,3464,264
63360,277,272,265,260,2351,3538,3460,261
63361,277,271,263,260,638,3412,3466,260
63362,279,270,264,261,298,2888,3342,255
63363,277,270,264,261,276,301,583,252
63364,278,272,264,259,276,270,272,251
63365,287,273,264,261,276,273,269,255
63366,688,279,267,262,290,300,275,365
63367,3247,494,349,273,3300,3848,2366,4014
63368,4092,3400,3769,2745,4095,4095,4095,4095
