row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
12941,4036,4095,4095,4095,4095,4095,4095,3977
12942,3848,4095,4095,4095,4095,4084,4095,3644
12943,3092,4082,4076,4095,4068,3920,4070,2274
12944,1633,3812,3784,4084,3732,2836,3852,289
12945,313,2604,2444,3812,1858,338,1322,253
12946,274,661,351,2070,291,272,272,252
12947,269,286,274,305,279,272,269,252
12948,269,272,268,267,279,273,266,250
12949,269,270,267,262,285,284,267,251
12950,269,270,275,265,420,404,268,252
12951,268,270,297,284,2988,1796,268,252
12952,268,269,377,1057,3516,2716,266,251
12953,269,269,621,3118,3549,3224,265,251
12954,269,270,682,3388,3560,3200,266,251
12955,269,269,427,3336,3534,3212,267,252
12956,267,270,297,2191,3293,3292,268,250
12957,268,269,269,311,1632,3389,267,251
12958,270,270,266,267,312,3432,267,251
12959,269,270,265,262,288,3432,268,251
12960,268,270,264,261,280,3436,267,252
12961,267,270,266,262,291,3453,267,250
12962,267,269,271,266,1654,3466,266,252
12963,268,269,285,320,3525,3444,266,251
12964,269,271,532,2796,3572,3336,265,251
12965,267,269,2610,3436,3572,3242,264,252
12966,267,271,2912,3468,3516,3004,264,251
12967,266,271,3119,3466,2952,1078,265,253
12968,267,271,3356,3336,354,277,265,252
12969,268,271,3424,2216,277,272,265,252
12970,268,280,3416,512,277,270,266,252
12971,267,292,3380,292,276,270,265,252
12972,268,298,3294,275,274,270,265,253
12973,268,297,2958,271,275,270,266,253
12974,268,298,2564,265,273,271,267,255
12975,267,297,2542,262,276,272,294,258
12976,268,294,2908,264,274,277,2252,259
12977,266,292,3316,272,274,287,3124,258
12978,267,289,3452,291,283,320,3280,258
12979,267,283,3452,599,605,1216,3295,254
12980,267,275,3358,2284,2700,2578,3024,253
12981,267,270,2878,3222,3272,3424,2420,252
12982,268,269,2076,3503,3548,3516,1191,252
12983,268,269,653,3488,3548,3428,317,251
12984,268,268,288,3149,3390,2447,273,252
12985,269,269,270,1820,1404,309,266,253
12986,267,269,265,308,280,270,266,253
12987,269,270,265,268,276,270,266,261
12988,270,270,264,260,277,277,269,300
