row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
19063,324,1556,2349,313,297,283,299,260
19064,641,2968,3400,2246,1318,287,300,260
19065,1224,3396,3508,3384,3332,291,303,258
19066,1311,3492,3532,3478,3488,290,304,260
19067,1176,3534,3534,3520,3528,293,293,262
19068,839,3546,3542,3535,3567,961,295,258
19069,379,3500,3536,3540,3599,3396,296,258
19070,307,3092,3518,3541,3614,3592,292,259
19071,285,2150,3476,3535,3613,3600,311,257
19072,277,1044,3364,3508,3620,3608,372,257
19073,275,308,2398,3432,3620,3628,630,256
19074,275,285,657,2906,3584,3614,2254,257
19075,273,276,283,1454,3502,3596,3015,256
19076,274,272,264,310,3342,3605,3048,256
19077,273,272,263,276,3176,3620,3168,258
19078,273,271,263,268,3030,3616,3240,262
19079,273,271,263,262,3018,3604,3304,262
19080,274,272,264,259,3072,3599,3422,261
19081,275,273,262,259,3233,3596,3486,262
19082,274,272,264,260,3450,3598,3492,262
19083,273,272,262,260,3567,3608,3487,261
19084,274,273,262,261,3588,3600,3484,260
19085,273,272,261,263,3588,3592,3448,258
19086,274,271,263,267,3597,3596,3384,256
19087,274,272,262,271,3598,3588,3253,253
19088,273,270,264,274,3592,3564,3096,253
19089,274,272,264,273,3588,3564,1810,253
19090,274,272,263,274,3594,3564,290,253
19091,274,271,263,274,3592,3565,287,254
19092,273,272,264,276,3592,3560,1732,256
19093,275,271,264,276,3584,3544,3005,259
19094,275,271,264,277,3572,3540,3180,259
19095,274,271,261,277,3550,3548,3372,259
19096,274,271,263,273,3504,3556,3406,258
19097,274,272,263,265,3404,3553,3392,256
19098,273,270,262,261,3264,3540,3386,255
19099,273,270,263,259,2270,3508,3370,255
19100,275,269,261,258,452,3428,3356,255
19101,273,270,262,257,298,3087,3352,256
19102,274,269,263,257,291,2572,3326,254
19103,274,270,262,256,281,2000,3284,253
19104,273,270,263,257,278,540,3052,253
19105,273,271,261,257,276,275,596,253
19106,272,271,263,258,276,269,272,252
19107,274,271,263,257,276,269,267,251
19108,274,271,263,258,276,269,267,253
