row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
54876,3996,4095,4095,4095,4095,4095,4095,3956
54877,3800,4095,4095,4095,4095,4095,4095,3560
54878,2948,4076,4084,4095,4076,3997,4088,2428
54879,1887,3848,3880,4095,3950,3535,3992,752
54880,451,2824,3023,4032,3321,1940,3132,280
54881,294,1644,1974,3812,1560,331,1341,258
54882,280,381,333,2612,301,277,292,253
54883,275,288,274,348,277,269,270,252
54884,276,274,266,274,278,272,267,252
54885,274,272,266,265,280,276,266,251
54886,274,270,269,263,289,294,265,252
54887,274,270,273,263,312,340,265,251
54888,274,271,288,266,687,1120,266,253
54889,275,271,323,277,2176,2424,266,252
54890,274,272,849,325,3301,3220,265,250
54891,274,273,1421,1710,3433,3300,267,252
54892,275,270,1469,2976,3420,3272,265,251
54893,273,271,1392,3364,3332,3192,266,251
54894,274,272,1070,3356,2856,2928,265,252
54895,275,271,332,3004,1140,2632,266,250
54896,274,271,290,1934,310,2484,266,252
54897,275,272,273,364,283,2352,266,250
54898,274,271,267,290,278,2242,267,252
54899,277,272,265,271,276,2216,267,253
54900,275,271,266,263,277,2216,266,252
54901,275,271,265,262,276,2209,268,251
54902,274,272,265,261,277,2228,266,252
54903,275,272,265,259,277,2302,265,252
54904,274,271,265,260,277,2296,265,251
54905,274,273,266,259,277,2338,265,250
54906,276,273,264,259,278,2376,265,251
54907,274,271,264,258,278,2424,266,249
54908,275,272,264,259,281,2556,265,250
54909,273,271,265,260,307,2730,265,250
54910,275,271,266,266,1660,2948,266,250
54911,275,272,278,321,3052,3136,266,249
54912,275,271,301,2074,2000,3148,266,251
54913,274,270,615,2957,314,2948,266,249
54914,275,272,1780,2075,282,2320,265,251
54915,276,271,2671,347,277,1168,264,250
54916,274,272,2924,276,277,300,266,249
54917,276,273,2666,265,274,271,265,249
54918,275,274,2125,261,276,269,265,250
54919,277,275,1676,261,274,268,264,249
54920,275,276,1459,262,275,269,265,250
54921,274,279,1272,261,276,269,265,250
54922,274,281,1138,260,274,269,265,250
54923,274,283,1013,260,273,270,266,249
54924,275,283,996,260,276,269,265,250
54925,274,281,1037,260,275,269,264,249
54926,274,279,1201,259,275,278,264,249
54927,273,276,1455,258,274,296,265,249
54928,274,276,1746,261,276,332,266,250
54929,274,274,2150,261,274,471,266,251
54930,274,275,2624,260,275,1587,266,251
54931,275,275,2808,261,278,2782,266,251
54932,276,273,2372,269,280,3124,264,250
54933,274,273,1169,294,608,2772,266,250
54934,275,273,297,1735,3273,365,267,249
54935,276,272,268,2292,1183,272,267,249
54936,306,273,266,284,278,269,268,249
54937,2269,290,270,261,278,274,270,253
54938,3988,1574,684,266,501,645,278,307
54939,4095,3956,3960,1408,3960,4032,2704,3768
