row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
33007,293,274,282,270,3236,549,266,251
33008,344,280,397,289,3500,1900,266,251
33009,1277,304,2400,584,3530,3201,265,252
33010,2260,953,3348,2508,3544,3375,266,250
33011,2413,2644,3439,3372,3544,3392,265,250
33012,2194,3429,3464,3438,3518,3412,267,251
33013,1450,3471,3448,3438,3214,3437,265,250
33014,407,3117,3324,3420,2409,3464,269,251
33015,296,1900,2391,3324,1234,3478,272,250
33016,279,424,671,2582,364,3486,282,250
33017,276,290,307,666,316,3500,322,251
33018,275,277,342,300,595,3508,667,250
33019,275,278,1679,305,2390,3512,778,251
33020,276,282,2970,826,3422,3512,815,250
33021,276,292,3348,2568,3540,3508,799,250
33022,276,328,3428,3364,3532,3496,774,250
33023,277,852,3466,3445,3508,3448,725,251
33024,279,1921,3470,3453,3270,3309,644,252
33025,281,2516,3406,3432,2412,3016,576,251
33026,285,2815,2994,3301,909,2037,455,250
33027,286,3076,2232,2493,312,423,334,252
33028,289,3301,1132,500,281,280,283,251
33029,289,3412,329,280,277,272,266,252
33030,290,3420,287,266,274,271,264,251
33031,290,3416,275,264,274,270,264,251
33032,292,3412,275,263,275,270,265,250
33033,290,3413,280,262,275,270,264,251
33034,285,3368,283,262,276,270,264,251
33035,278,3225,303,262,275,270,264,250
33036,278,3100,984,263,275,269,264,250
33037,276,3060,2614,269,277,273,265,251
33038,277,3060,3205,290,288,283,266,251
33039,275,2357,3438,941,1170,497,271,252
33040,275,996,3460,2444,3168,2815,280,253
33041,273,305,3407,3340,3429,3396,281,251
33042,274,285,2592,3401,3508,3489,278,250
33043,275,276,341,3202,3508,3466,275,253
33044,276,275,271,2468,3428,3040,272,252
33045,276,273,269,317,2302,1174,266,251
33046,276,272,266,268,300,285,265,252
33047,291,274,267,264,278,274,265,251
33048,1086,280,268,264,277,272,265,252
33049,3502,379,288,264,281,276,264,253
33050,4033,2681,1429,278,370,322,267,262
33051,4058,4056,3912,1338,3384,2988,318,1547
33052,4068,4095,4095,3822,4088,4095,3608,4015
