row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
1981,3985,4095,4095,4095,4095,4095,4095,4061
1982,3816,4095,4095,4095,4095,4095,4095,4012
1983,3418,4095,4095,4095,4095,4095,4095,3916
1984,2828,4072,4095,4095,4084,4032,4095,3692
1985,2186,3948,4048,4095,4032,3887,4093,3292
1986,1557,3688,3912,4095,3876,3584,4056,2547
1987,783,3188,3540,4072,3496,3012,3960,1429
1988,331,2456,2848,3956,2834,2193,3660,348
1989,299,1672,1987,3640,1960,1192,2925,282
1990,286,846,956,2956,910,350,1748,264
1991,282,348,333,2092,332,300,567,256
1992,279,312,304,1449,303,288,316,253
1993,280,299,289,732,290,280,285,251
1994,279,288,277,325,282,274,271,251
1995,281,282,274,291,278,273,267,249
1996,280,279,272,280,278,273,266,249
1997,280,279,271,274,277,273,266,249
1998,280,281,272,269,276,273,264,248
1999,280,282,271,268,276,272,265,250
2000,280,284,272,266,276,271,264,249
2001,280,287,270,264,276,273,265,249
2002,279,293,271,265,277,273,264,249
2003,281,300,271,266,276,271,266,250
2004,280,308,271,267,277,272,266,251
2005,281,315,272,266,278,270,265,249
2006,280,320,275,267,281,271,266,250
2007,280,322,280,267,284,271,266,251
2008,281,320,289,267,290,271,266,250
2009,280,318,297,269,294,271,265,251
2010,279,316,308,270,299,272,266,250
2011,280,313,329,275,307,273,265,249
2012,280,309,504,281,321,271,265,249
2013,280,303,1212,293,338,272,264,249
2014,279,296,1900,317,365,272,265,252
2015,279,292,2484,397,404,271,265,251
2016,280,288,2842,947,461,272,266,251
2017,280,287,3012,1491,542,270,265,250
2018,279,284,3080,2216,674,272,265,251
2019,280,282,2909,2854,838,272,264,250
2020,279,279,2524,3168,998,271,264,249
2021,278,277,1912,3280,1184,273,264,250
2022,279,278,1101,3092,1361,272,265,248
2023,278,276,364,2568,1525,273,264,250
2024,279,277,303,1806,1696,272,265,250
2025,278,277,285,953,1876,274,266,250
2026,277,277,277,350,2052,273,266,249
2027,279,276,275,305,2216,273,266,250
2028,279,276,272,290,2346,273,265,251
2029,279,277,273,283,2453,272,265,250
2030,278,277,272,278,2580,273,266,250
2031,277,278,273,277,2720,274,266,249
2032,278,277,270,275,2842,274,265,249
2033,277,277,273,274,2904,276,264,250
2034,279,277,272,274,2906,276,265,250
2035,277,277,271,274,2904,277,264,250
2036,278,278,274,272,2934,281,266,250
2037,279,278,274,274,2998,283,265,251
2038,280,278,276,278,3080,285,265,252
2039,278,278,276,288,3173,290,265,250
2040,280,277,281,307,3284,295,264,251
2041,278,277,284,363,3370,300,265,250
2042,279,278,291,1090,3316,304,265,250
2043,280,276,297,1948,3056,306,266,251
2044,279,277,309,2672,2500,307,265,251
2045,280,277,329,3064,1645,305,266,250
2046,277,278,370,3215,606,297,265,251
2047,277,276,555,3204,313,290,265,251
2048,280,279,826,3028,291,284,266,250
2049,279,276,1028,2717,283,277,265,249
2050,278,277,1201,2296,280,274,267,250
2051,278,276,1340,1843,278,274,265,250
2052,279,278,1452,1370,278,274,264,250
2053,279,277,1540,896,279,273,265,250
2054,279,275,1608,491,278,271,266,251
2055,278,277,1644,359,280,272,266,249
2056,278,277,1647,352,277,272,265,251
2057,278,276,1647,352,278,272,266,251
2058,280,277,1647,353,278,272,265,249
2059,278,276,1647,351,277,271,264,249
2060,280,276,1646,353,277,272,265,250
2061,279,277,1634,348,278,272,264,251
2062,279,277,1606,321,277,273,266,250
2063,279,276,1581,311,279,272,265,250
2064,280,276,1556,308,278,273,264,249
2065,278,278,1506,302,279,272,265,250
2066,280,278,1436,299,279,272,265,249
2067,279,278,1323,297,278,272,265,252
2068,279,278,1165,294,277,274,265,252
2069,280,277,956,296,280,272,266,250
2070,279,279,708,296,279,273,266,250
2071,280,276,413,296,280,273,267,251
2072,279,277,344,299,279,273,267,251
2073,280,276,324,305,279,275,266,251
2074,279,277,309,315,280,274,267,250
2075,278,278,298,335,277,274,265,251
2076,277,278,289,387,280,274,265,251
2077,278,280,283,711,282,279,265,251
2078,278,278,278,1088,288,294,266,251
2079,279,279,275,1218,310,353,266,251
2080,279,277,273,1064,618,1593,266,250
2081,279,278,273,560,2094,2849,265,249
2082,279,276,271,321,2986,3074,266,251
2083,280,277,272,292,2664,2344,267,249
2084,281,278,272,280,1398,868,266,249
2085,289,277,273,273,322,298,267,250
2086,311,279,273,272,288,277,268,251
2087,689,284,277,271,284,279,268,257
2088,2426,323,296,272,305,309,271,288
2089,3778,1416,970,288,1319,1636,306,2052
2090,4072,2988,2856,407,3332,3553,2159,3838
2091,4095,3900,3894,2244,4045,4092,3905,4056
2092,4095,4095,4095,3708,4095,4095,4095,4092
