row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
43513,3989,4095,4095,4095,4095,4095,4095,3860
43514,3496,4095,4095,4095,4089,4030,4092,2776
43515,2280,3976,4032,4095,3934,3334,3928,336
43516,767,3040,3201,3965,2102,378,1522,253
43517,285,404,308,1492,281,272,270,250
43518,277,286,274,282,282,277,265,249
43519,276,283,315,269,970,299,266,251
43520,276,300,2232,331,3306,315,267,250
43521,277,307,3374,2936,3422,321,267,250
43522,278,302,2836,3332,2894,333,266,250
43523,276,287,625,2504,1020,352,267,250
43524,278,280,288,447,311,404,266,249
43525,276,274,269,276,300,609,265,249
43526,277,276,268,264,297,811,265,249
43527,277,272,268,262,293,1016,264,249
43528,277,274,268,261,293,1191,264,249
43529,277,273,267,261,289,1332,265,249
43530,278,273,266,261,288,1410,265,249
43531,276,274,268,262,287,1464,265,250
43532,276,274,266,262,287,1505,264,250
43533,276,273,268,262,288,1456,266,250
43534,276,273,273,264,293,1416,265,249
43535,275,273,291,278,318,1347,266,250
43536,276,276,476,326,814,1309,265,249
43537,276,276,1893,1513,2005,1237,265,249
43538,275,277,3008,3044,3020,1146,265,250
43539,276,284,3289,3360,3340,1081,265,249
43540,275,289,3236,3269,3257,1032,265,250
43541,277,304,2741,2292,2752,975,265,251
43542,276,325,2048,981,2128,949,265,250
43543,276,365,1090,299,996,518,263,249
43544,276,744,324,270,327,317,264,250
43545,276,1153,290,264,292,283,264,250
43546,276,1595,276,261,279,270,264,250
43547,275,1900,272,262,274,268,265,251
43548,274,2248,269,261,273,268,264,250
43549,276,2432,269,261,273,269,264,250
43550,277,2479,267,260,274,268,264,250
43551,276,2478,267,260,275,269,265,249
43552,276,2408,268,261,274,269,263,251
43553,277,2255,268,260,274,278,264,251
43554,277,2061,271,259,280,324,265,251
43555,276,1711,273,260,293,1388,264,250
43556,276,1204,284,261,333,997,264,251
43557,276,510,328,262,1541,353,265,251
43558,276,313,2049,267,3240,290,267,252
43559,275,284,3232,320,3392,273,265,251
43560,276,274,2644,2744,2648,271,265,250
43561,279,273,348,3164,325,269,265,250
43562,302,273,272,826,277,271,267,250
43563,1756,289,270,270,277,273,267,253
43564,3956,1540,497,270,339,331,270,283
43565,4094,3888,3784,824,3680,3688,1090,3176
43566,4095,4095,4095,3745,4095,4095,3948,4038
