row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
27393,3988,4095,4095,4095,4095,4095,4095,4095
27394,3724,4095,4095,4095,4095,4095,4095,4094
27395,2524,4084,4095,4095,4095,4095,4095,3865
27396,1174,3456,3598,4068,3804,3500,4076,2584
27397,310,2244,2666,3950,3264,2580,3909,329
27398,277,510,580,2744,984,349,1859,258
27399,277,288,282,402,288,278,281,253
27400,275,275,268,277,279,275,265,251
27401,277,277,269,268,286,278,265,253
27402,276,276,268,268,331,284,266,252
27403,273,273,269,267,2082,293,266,253
27404,275,275,267,266,3084,297,265,251
27405,275,274,267,266,3192,308,264,252
27406,274,273,267,266,3212,360,264,252
27407,274,274,266,266,3208,1096,264,252
27408,272,273,266,264,3154,1384,264,251
27409,272,271,266,266,3124,1417,265,253
27410,272,272,267,264,3060,1568,265,252
27411,273,273,267,264,3012,2013,264,251
27412,272,273,267,264,2850,2637,264,251
27413,272,274,268,264,2134,3252,266,250
27414,273,273,269,264,1378,3380,266,252
27415,272,276,282,266,1174,3404,267,251
27416,272,277,999,270,545,3464,268,251
27417,271,290,3245,283,320,3497,270,253
27418,272,348,3460,800,509,3508,283,251
27419,273,1600,3492,3106,2562,3534,297,252
27420,275,2728,3264,3448,3548,3548,297,252
27421,273,3118,1640,3429,3520,3540,292,253
27422,275,3142,299,3190,3132,3528,292,252
27423,274,3162,286,1414,2286,3501,290,252
27424,275,2908,298,282,1300,3482,288,252
27425,272,2350,458,264,331,3460,284,253
27426,271,1924,1840,265,294,3439,282,252
27427,272,1004,2820,266,286,3396,276,253
27428,272,306,3308,276,289,3378,269,253
27429,272,285,3432,341,311,3356,265,252
27430,272,281,3436,2084,1798,3316,266,253
27431,271,277,3246,2892,3432,3048,265,251
27432,272,273,2268,3368,3540,2265,265,251
27433,272,272,619,3408,3506,804,265,252
27434,270,273,295,3118,3286,298,265,252
27435,276,272,272,2586,2392,280,265,252
27436,298,272,267,1831,1147,276,264,253
27437,621,275,267,330,296,273,265,253
27438,2952,294,270,274,279,275,265,251
27439,3951,1340,312,267,294,284,266,253
27440,4012,3676,2760,301,1326,450,267,261
27441,4016,4095,4056,2292,3676,3064,291,302
27442,4020,4095,4095,3954,4080,4056,2064,2768
27443,4024,4095,4095,4095,4095,4095,3986,4012
