row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
9823,276,276,268,275,3082,274,268,253
9824,274,276,268,279,3360,283,266,252
9825,273,276,268,280,3490,301,266,253
9826,273,276,268,280,3532,329,266,252
9827,272,276,270,282,3545,331,266,251
9828,273,274,268,285,3556,327,266,252
9829,274,274,270,282,3548,344,267,251
9830,272,271,265,273,3556,784,266,250
9831,271,271,265,267,3524,2044,267,251
9832,272,272,264,261,3480,2164,267,251
9833,272,273,266,261,3284,2330,269,252
9834,272,273,266,259,3072,2968,266,250
9835,272,271,267,259,3066,3352,268,250
9836,273,272,267,260,2625,3358,266,252
9837,274,273,267,260,1602,3360,266,251
9838,274,274,266,260,1399,3404,266,250
9839,275,273,267,260,1432,3465,267,252
9840,274,274,270,262,825,3513,268,250
9841,276,273,290,267,588,3524,267,250
9842,276,275,523,313,2756,3530,266,251
9843,277,276,1398,2560,3612,3516,267,252
9844,277,276,2286,3456,3621,3524,270,250
9845,278,277,3064,3496,3613,3529,274,251
9846,278,277,3270,3506,3580,3544,271,251
9847,279,277,3282,3404,3148,3540,269,251
9848,278,277,2982,1970,1998,3537,267,249
9849,280,279,2693,314,1649,3535,266,250
9850,281,277,2708,286,2335,3524,265,252
9851,283,281,2934,314,3392,3508,265,251
9852,282,280,2767,1280,3612,3452,264,250
9853,284,281,2133,2685,3612,3340,266,251
9854,284,282,876,3404,3576,2732,265,252
9855,284,281,305,3372,3464,1205,266,252
9856,285,282,280,2840,2742,300,264,252
9857,285,283,275,968,754,276,265,253
9858,296,281,272,287,288,276,266,253
9859,481,282,271,269,279,274,266,251
9860,2212,298,272,268,279,277,265,253
9861,3588,665,279,267,281,279,266,253
9862,3983,2516,364,270,285,280,266,254
9863,4014,3838,2772,303,352,300,267,258
9864,4020,4095,4036,1511,2136,706,275,271
9865,4024,4095,4095,3580,3686,2972,401,1034
9866,4024,4095,4095,4076,4058,4020,3196,3668
