row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
46774,280,285,3108,365,277,273,264,251
46775,281,286,3420,1370,278,273,266,252
46776,280,285,3436,2204,279,273,265,252
46777,280,285,3442,2654,282,271,264,251
46778,280,284,3444,2974,291,272,264,251
46779,280,283,3408,3322,313,273,266,251
46780,279,282,3192,3480,337,274,266,252
46781,280,278,2858,3516,488,274,265,252
46782,279,279,2504,3540,1688,275,266,253
46783,281,278,2034,3534,2648,280,266,253
46784,280,276,1056,3488,3272,292,265,253
46785,280,277,329,3424,3476,302,265,253
46786,280,278,296,3365,3526,313,265,253
46787,280,279,289,3228,3548,455,265,253
46788,281,278,282,2860,3561,1657,266,253
46789,280,278,276,2564,3566,2536,267,252
46790,281,277,275,2320,3546,3198,267,253
46791,280,278,274,1673,3503,3444,269,253
46792,280,277,272,378,3454,3502,278,253
46793,280,277,273,293,3318,3524,303,253
46794,281,277,273,276,2494,3540,560,252
46795,281,276,271,272,1096,3542,696,253
46796,279,277,273,271,657,3524,1689,258
46797,280,278,274,272,376,3452,2724,259
46798,281,277,273,271,306,3338,3204,261
46799,282,279,274,271,290,3236,3302,261
46800,281,277,274,270,285,2995,3293,259
46801,281,279,274,270,285,2372,3272,260
46802,282,281,275,272,285,1469,3242,259
46803,280,279,274,270,284,390,3119,255
46804,282,279,276,271,282,299,1780,254
46805,283,280,276,271,284,282,293,253
46806,283,281,278,273,284,278,268,254
46807,297,283,277,274,288,283,268,254
