row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
28342,279,278,271,275,2522,277,267,251
28343,280,275,270,279,3340,278,266,252
28344,279,276,271,289,3471,281,267,251
28345,279,277,271,311,3500,286,267,252
28346,278,276,270,371,3518,298,267,252
28347,279,275,270,856,3534,309,267,251
28348,278,276,271,1149,3552,315,267,251
28349,278,276,273,1320,3558,314,266,250
28350,280,275,271,1346,3564,313,266,251
28351,279,274,272,1433,3566,314,265,251
28352,278,276,274,1644,3565,310,266,251
28353,278,276,275,1954,3566,306,266,252
28354,278,275,278,2373,3567,306,266,250
28355,279,273,278,2788,3552,301,266,251
28356,278,276,281,3068,3521,294,266,252
28357,279,274,282,3225,3428,286,266,252
28358,277,275,284,3300,3197,279,266,252
28359,278,274,285,3336,2785,274,266,251
28360,279,274,285,3368,2298,271,266,252
28361,278,275,288,3388,1966,270,266,251
28362,280,275,288,3406,1778,270,266,251
28363,279,275,290,3414,1472,269,265,251
28364,280,276,290,3420,989,270,266,251
28365,279,274,290,3424,352,270,266,252
28366,279,275,293,3436,315,272,267,252
28367,278,274,293,3444,306,271,266,251
28368,280,275,300,3462,305,271,266,251
28369,280,276,311,3474,303,270,267,252
28370,278,276,344,3492,303,270,267,250
28371,280,276,588,3501,301,271,267,251
28372,279,274,1127,3520,300,271,266,251
28373,278,274,1288,3526,297,269,266,250
28374,277,274,1317,3526,294,271,266,252
28375,279,276,1415,3524,292,271,266,252
28376,278,276,1519,3508,291,271,267,252
28377,279,276,1636,3504,290,269,267,252
28378,277,275,1740,3500,289,269,268,251
28379,279,276,1828,3501,286,269,265,252
28380,279,277,1984,3504,288,270,265,250
28381,278,276,2370,3508,284,268,267,251
28382,279,276,2800,3508,284,269,268,251
28383,278,277,3236,3503,282,269,265,252
28384,278,276,3383,3506,281,269,266,252
28385,279,275,3413,3484,280,270,267,251
28386,279,275,3436,3428,277,268,267,251
28387,280,278,3448,3320,277,269,266,251
28388,280,278,3464,3180,277,268,267,251
28389,279,278,3480,3096,276,270,268,252
28390,280,278,3488,3036,274,270,267,252
28391,279,277,3484,2979,275,272,266,252
28392,281,279,3361,2872,275,270,268,253
28393,281,278,3116,2648,276,270,268,252
28394,281,279,2056,1684,275,271,269,251
28395,280,278,375,353,276,270,267,251
28396,282,278,283,285,276,270,270,252
28397,283,278,271,268,276,270,269,251
28398,290,278,270,264,275,270,269,252
