row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
23276,282,280,273,1510,2057,272,272,252
23277,283,278,273,1705,2162,271,271,254
23278,281,278,273,1686,2219,271,272,253
23279,280,278,273,1614,2292,270,271,252
23280,281,278,273,1556,2344,270,271,252
23281,280,276,273,1457,2423,271,269,252
23282,281,277,273,1416,2445,271,270,253
23283,281,279,274,1373,2448,270,269,252
23284,281,279,272,1313,2500,272,270,253
23285,282,278,271,1248,2640,272,269,252
23286,279,278,273,1246,2940,273,269,251
23287,280,279,272,1170,3279,275,268,250
23288,280,278,273,1034,3420,277,268,251
23289,280,278,273,578,3464,285,268,253
23290,280,278,272,337,3488,304,270,253
23291,280,278,271,305,3512,316,269,253
23292,280,276,272,300,3540,313,269,251
23293,279,278,272,300,3560,310,267,251
23294,280,279,272,302,3560,309,268,252
23295,281,277,271,302,3553,308,268,252
23296,281,278,271,304,3552,307,268,251
23297,280,277,272,304,3560,305,269,253
23298,280,277,271,306,3552,300,269,252
23299,279,277,271,311,3532,296,269,253
23300,280,278,269,314,3508,293,269,251
23301,280,277,271,311,3496,290,270,252
23302,280,278,272,301,3492,288,269,252
23303,279,275,270,291,3492,284,268,250
23304,280,275,270,283,3478,283,267,251
23305,280,276,270,276,3452,281,267,252
23306,280,276,270,276,3439,281,268,252
23307,280,275,272,278,3420,279,268,252
23308,280,275,270,277,3412,279,268,251
23309,280,273,270,275,3422,278,268,252
23310,279,276,270,273,3438,277,268,252
23311,279,275,271,275,3448,276,267,252
23312,280,277,270,282,3456,277,268,252
23313,279,276,269,300,3460,276,267,252
23314,280,276,269,349,3453,277,269,251
23315,279,275,270,818,3436,275,267,252
23316,280,276,271,1216,3416,275,268,252
23317,280,275,270,1309,3354,273,268,253
23318,280,276,271,1412,2973,271,268,252
23319,280,277,270,1490,1807,271,267,252
23320,281,276,270,988,341,272,268,252
23321,282,278,272,311,281,272,269,251
23322,284,276,270,274,277,271,268,253
