row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
19589,291,298,2325,1093,283,271,274,253
19590,292,317,3284,2768,287,271,273,253
19591,293,387,3496,3327,292,272,272,253
19592,294,1095,3552,3478,300,270,269,255
19593,295,1808,3580,3516,350,271,271,253
19594,296,2146,3592,3546,937,272,271,253
19595,294,2369,3588,3544,1670,271,268,253
19596,295,2420,3556,3556,2620,271,267,254
19597,297,2482,3336,3556,2945,272,267,252
19598,302,2708,2708,3544,3068,273,267,253
19599,307,2968,1930,3550,3214,281,266,253
19600,307,3170,1020,3516,3437,295,267,253
19601,305,3308,383,3356,3528,344,267,251
19602,304,3314,309,2792,3544,547,268,252
19603,303,3256,295,2110,3532,828,268,251
19604,301,3130,283,796,3504,1416,266,252
19605,301,3049,279,325,3464,2201,265,251
19606,298,2956,278,292,3272,2972,265,251
19607,298,2913,280,279,2808,3184,265,251
19608,296,2908,281,275,2166,3266,265,251
19609,293,2834,288,272,1069,3320,266,253
19610,292,2648,299,272,347,3316,267,252
19611,292,2300,324,271,291,3277,277,253
19612,292,1893,427,273,282,3066,300,253
19613,293,1447,966,272,284,2604,329,254
19614,294,1212,1440,272,288,2045,334,254
19615,291,1058,1967,273,294,1624,337,253
19616,290,778,2548,275,298,1320,340,254
19617,290,406,3084,284,298,846,353,253
19618,290,331,3312,297,292,478,362,254
19619,291,305,3312,336,286,631,372,254
19620,290,294,3072,812,284,1756,373,255
19621,290,288,2662,1743,292,2936,372,257
19622,290,287,1966,2588,324,3196,400,257
19623,291,285,1327,3014,857,3304,448,257
19624,289,284,469,3272,1869,3412,500,257
19625,290,285,314,3260,2782,3528,553,257
19626,289,282,292,3060,3485,3584,527,260
19627,291,284,282,2632,3602,3568,371,261
19628,290,285,280,2078,3593,3534,315,263
19629,289,285,281,1288,3582,3461,289,262
19630,289,283,277,564,3480,3068,278,264
19631,288,282,277,313,2802,1832,275,264
19632,291,284,277,292,1312,363,273,267
19633,289,284,277,281,307,288,272,268
19634,291,284,278,277,286,279,275,275
19635,294,285,279,279,287,281,275,282
