row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
9520,4040,4095,4095,4095,4095,4095,4095,3994
9521,3798,4095,4095,4095,4095,4068,4095,3448
9522,3296,4088,4092,4095,4052,3648,4028,1632
9523,2341,3765,3812,4095,3580,2440,3478,288
9524,1100,2796,2820,3862,2200,625,1576,257
9525,336,1608,1250,2571,324,284,289,251
9526,296,433,312,562,280,273,268,250
9527,289,298,280,284,278,271,267,251
9528,286,288,290,274,278,272,265,252
9529,285,286,412,279,280,270,266,250
9530,285,291,2492,327,283,270,264,252
9531,285,311,3424,1966,308,273,266,251
9532,284,397,3500,3077,1518,280,266,250
9533,286,850,3508,3256,1743,278,264,252
9534,286,501,3502,3084,1435,278,267,251
9535,284,425,3500,3128,1673,280,266,251
9536,285,487,3504,3248,2066,282,267,251
9537,286,558,3512,3272,2104,284,266,251
9538,286,646,3520,3370,2638,294,266,251
9539,287,1455,3520,3511,3066,311,266,251
9540,285,1822,3524,3524,3252,336,267,251
9541,285,2253,3512,3514,3448,656,267,250
9542,286,2670,3500,3508,3502,1925,267,251
9543,288,2796,3500,3508,3512,2954,269,251
9544,289,2801,3496,3497,3512,3402,272,254
9545,295,2888,3494,3492,3524,3460,280,251
9546,304,3200,3486,3484,3512,3456,329,252
9547,311,3456,3492,3473,3516,3497,366,252
9548,365,3500,3503,3480,3502,3500,2406,252
9549,851,3520,3388,3416,3392,3496,2632,256
9550,812,3534,3020,1156,2804,3502,3310,258
9551,693,3532,2954,269,980,3468,3374,260
9552,451,3522,3332,317,1368,3484,3407,260
9553,317,3496,3476,3216,3480,3492,3397,254
9554,296,3426,3480,3442,3520,3457,3144,252
9555,296,3373,3468,3456,3520,3452,3125,253
9556,293,3352,3466,3460,3506,3450,3057,252
9557,288,2936,3470,3461,3508,3464,3064,252
9558,283,1238,3462,3465,3508,3412,311,253
9559,283,304,2908,3428,3434,2996,275,251
9560,281,281,314,2652,1580,287,271,252
9561,283,277,270,745,289,270,271,252
9562,284,277,268,270,276,271,271,253
9563,315,277,268,262,275,270,272,253
9564,2061,300,274,263,278,274,272,256
9565,3951,1808,877,271,438,389,276,299
9566,4095,3940,3956,1764,3988,4062,3228,4030
