row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
19478,3968,4095,4095,4095,4095,4095,4095,3852
19479,3716,4095,4095,4095,4095,4068,4095,2784
19480,3140,4060,4056,4095,4056,3768,4012,409
19481,2279,3716,3759,4092,3816,2660,3486,265
19482,1378,3000,2952,3928,2649,399,1039,254
19483,364,1836,1501,3032,398,278,281,253
19484,301,694,335,1434,285,274,273,253
19485,287,314,286,318,278,273,271,253
19486,287,291,276,280,283,271,270,254
19487,285,281,272,268,345,270,270,253
19488,284,280,273,278,2600,280,271,253
19489,284,278,281,352,3238,309,271,252
19490,284,281,305,2336,3356,399,272,251
19491,284,279,938,3208,3416,436,273,252
19492,283,279,2071,3341,3386,567,273,252
19493,283,279,2653,3392,2460,1591,274,252
19494,284,277,2984,3294,320,2850,278,252
19495,284,283,2944,2895,287,2988,281,254
19496,284,291,2486,2108,288,3005,289,256
19497,282,305,1709,332,290,2936,296,257
19498,282,335,744,266,291,2841,300,256
19499,282,405,305,261,290,2744,294,256
19500,284,782,286,260,285,2644,290,256
19501,284,1188,275,260,285,2639,293,256
19502,283,1549,272,261,288,2590,296,256
19503,285,1839,270,260,285,2537,291,255
19504,286,2248,268,260,284,2484,291,255
19505,285,2666,267,260,288,2552,298,257
19506,286,2848,264,262,290,2532,300,257
19507,286,2834,266,261,288,2538,302,258
19508,286,2647,265,261,294,2612,321,260
19509,285,2180,264,263,306,2749,369,261
19510,284,1624,265,261,313,2840,407,262
19511,283,1371,266,262,312,2772,351,261
19512,285,1340,265,261,308,2754,361,264
19513,284,1376,267,261,313,2798,411,265
19514,284,1448,265,262,330,2864,628,265
19515,284,1794,267,261,342,2952,640,264
19516,285,2409,267,263,340,3172,544,262
19517,285,2880,265,264,337,3598,468,264
19518,285,2944,268,264,373,3668,733,266
19519,283,2832,272,264,948,3644,564,264
19520,283,2424,282,264,2350,2624,684,266
19521,281,1957,331,265,3144,2328,894,266
19522,282,1688,2284,272,3789,1868,1349,269
19523,280,1133,3359,284,3756,1500,1158,267
19524,280,338,3356,1188,3652,1071,840,266
19525,280,293,3202,3492,2756,808,761,264
19526,281,278,1992,3412,2086,1105,1076,266
19527,280,275,279,1732,876,1629,1452,267
19528,284,273,267,272,1201,2080,1798,270
19529,301,274,266,269,1300,2212,1839,269
19530,777,279,267,269,1512,2405,1979,272
19531,2736,320,279,269,1169,1888,1855,294
19532,3914,1916,1482,273,3412,3956,2697,3812
19533,4095,3808,3992,2602,4095,4095,4095,4095
