row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
44504,4088,4095,4095,4095,4095,4095,4095,3946
44505,4052,4095,4095,4095,4095,4095,4095,3446
44506,3904,4095,4095,4095,4095,4060,4076,1565
44507,3418,4095,4095,4095,4072,3776,3950,285
44508,2528,4006,4024,4095,3828,2118,2927,256
44509,1359,3417,3352,3998,1900,301,332,251
44510,340,2206,1586,3424,303,281,277,251
44511,293,979,308,1471,286,276,273,251
44512,281,338,278,314,282,274,271,250
44513,277,292,267,270,281,273,270,252
44514,276,281,266,261,280,272,270,252
44515,275,276,266,262,289,272,269,251
44516,276,277,266,269,353,273,269,251
44517,276,275,270,296,1753,273,268,252
44518,274,273,276,908,2574,273,269,251
44519,274,272,284,2445,2568,275,267,250
44520,274,272,304,2604,1844,281,266,250
44521,274,272,371,1560,792,292,269,249
44522,275,273,1069,353,331,316,267,249
44523,274,273,1686,289,304,377,266,249
44524,273,272,2156,276,293,872,266,249
44525,273,273,2412,266,288,1349,266,250
44526,274,273,2496,264,285,1764,267,253
44527,273,273,2456,264,283,2136,267,249
44528,272,274,2303,261,282,2444,268,252
44529,273,275,2120,261,280,2725,267,251
44530,274,274,1967,261,279,2920,268,250
44531,273,275,1869,259,280,3036,266,251
44532,273,276,1812,261,279,3124,266,250
44533,273,277,1742,259,279,3176,267,252
44534,272,278,1676,260,278,3208,266,251
44535,273,279,1614,261,280,3228,266,251
44536,273,281,1586,261,277,3252,268,250
44537,272,280,1588,260,278,3270,266,250
44538,272,282,1644,260,277,3269,265,250
44539,271,283,1724,260,278,3250,267,249
44540,272,283,1784,260,277,3232,268,250
44541,273,283,1832,262,277,3215,267,250
44542,272,282,1888,262,277,3204,267,250
44543,274,282,1946,261,278,3174,267,250
44544,274,280,2031,259,276,3144,266,250
44545,272,278,2107,261,278,3105,266,249
44546,270,279,2184,259,276,3090,268,249
44547,272,277,2264,261,275,3092,267,251
44548,274,276,2362,261,274,3098,267,250
44549,273,277,2448,261,276,3082,267,250
44550,274,276,2532,261,276,3076,267,250
44551,272,274,2606,262,275,3085,267,251
44552,272,273,2671,261,276,3112,266,251
44553,272,272,2716,261,277,3122,266,250
44554,271,273,2735,261,276,3021,267,251
44555,273,272,2717,262,276,2766,266,252
44556,273,271,2608,263,277,2349,266,252
44557,273,272,2332,264,279,1662,267,252
44558,272,270,1888,265,285,668,266,252
44559,272,272,1176,271,308,308,266,252
44560,274,270,351,285,943,279,268,252
44561,272,270,292,328,2756,273,267,252
44562,273,271,272,1513,3150,270,267,253
44563,273,270,267,2340,2072,269,266,253
44564,275,271,264,1541,307,269,266,254
44565,283,270,264,294,278,269,269,253
44566,319,272,265,265,277,270,267,255
44567,1572,281,267,261,278,273,268,262
44568,3384,333,286,263,291,289,269,285
44569,4032,2018,1388,271,1263,1192,287,936
44570,4095,3693,3688,395,3652,3552,1115,3084
44571,4095,4076,4092,3074,4076,4095,3428,3972
