row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
36760,285,278,276,274,2840,1440,280,255
36761,283,277,283,318,3496,2080,283,257
36762,284,277,297,1716,3580,3138,275,253
36763,284,277,340,3272,3592,3384,278,257
36764,285,278,1067,3484,3604,3484,278,254
36765,284,279,2017,3508,3614,3524,282,255
36766,285,285,2972,3532,3608,3540,1690,266
36767,285,300,3366,3548,3576,3534,2636,278
36768,284,321,3513,3525,3012,3488,3470,282
36769,286,380,3508,3416,310,3232,3492,284
36770,287,1438,3196,2828,278,2498,3500,291
36771,287,2537,2326,327,275,347,3498,1708
36772,288,2996,877,264,277,277,3492,1825
36773,288,3012,362,261,275,276,3468,1849
36774,288,2989,365,262,276,273,3404,1796
36775,288,2999,368,261,275,272,3360,1872
36776,288,2966,384,262,276,271,3327,1903
36777,289,2996,371,260,277,271,3310,2000
36778,288,2984,367,260,277,271,3322,1932
36779,288,2953,677,261,276,272,3316,1908
36780,287,2904,1560,263,277,271,3314,1956
36781,286,2684,2494,266,276,272,3340,1956
36782,286,2296,3356,276,277,274,3356,2020
36783,285,1775,3492,301,276,324,3430,1765
36784,284,1192,3502,1156,282,3102,3452,1055
36785,284,686,3508,2232,328,3474,3460,299
36786,284,333,3492,3168,2990,3509,3454,284
36787,284,293,3452,3414,3584,3524,3448,277
36788,284,281,3228,3512,3596,3525,3429,263
36789,284,279,2808,3535,3592,3528,3326,254
36790,285,276,2598,3536,3589,3528,2840,252
36791,284,277,1957,3513,3524,3418,1482,252
36792,285,278,378,3292,2342,1315,294,252
36793,285,275,279,1293,290,274,271,253
36794,284,275,267,265,278,271,266,253
36795,286,276,266,260,277,270,265,253
36796,298,276,265,260,279,271,268,264
