row,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
35583,286,288,2650,310,2776,601,269,250
35584,286,320,3300,1692,3532,1494,268,251
35585,288,1050,3480,2972,3560,1616,267,251
35586,292,2232,3526,3484,3560,2306,269,252
35587,306,3132,3532,3500,3572,3364,270,251
35588,340,3280,3496,3503,3528,3508,272,250
35589,1024,3500,2628,3192,3420,3528,281,252
35590,1812,3572,455,376,2927,3546,307,250
35591,2426,3550,287,266,1705,3529,310,251
35592,2936,3422,273,264,365,3503,1007,251
35593,3068,2734,268,264,296,3480,2178,252
35594,3032,1761,269,264,281,3452,2190,253
35595,3016,790,269,265,280,3164,2129,252
35596,3044,357,268,264,280,2350,2102,252
35597,3065,361,268,265,279,1074,2054,252
35598,3100,690,268,264,277,322,2108,252
35599,3064,1557,268,264,277,317,2185,253
35600,2924,2669,269,265,276,317,2212,252
35601,2532,3343,282,264,276,396,2136,252
35602,1960,3552,418,265,277,2636,1901,252
35603,1246,3596,2690,287,290,3436,1687,252
35604,332,3528,3536,1071,2168,3526,1536,252
35605,291,3165,3544,3062,3576,3534,817,252
35606,287,2328,3548,3528,3594,3528,286,252
35607,286,392,3452,3545,3596,3496,281,251
35608,285,288,2220,3528,3544,3246,270,252
35609,287,280,317,3300,2708,1590,268,252
35610,286,279,275,536,297,284,267,251
35611,288,280,269,270,277,273,266,252
35612,303,278,268,266,277,274,266,253
35613,1358,288,273,265,280,276,268,256
35614,3700,1377,484,276,353,314,270,270
35615,4095,3666,3566,1036,3532,2852,329,1864
35616,4095,4095,4095,3836,4095,4095,3592,4072
